세미콘라이트(214310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-29,1382,1399,1368,1389,23021,44281.0,5209500.0
2016-03-30,1396,1396,1362,1397,22117,44541.0,5209500.0
2016-03-31,1396,1397,1374,1395,17764,44489.0,5209500.0
2016-04-01,1394,1413,1376,1397,36115,44541.0,5209500.0
2016-04-04,1403,1515,1395,1469,103557,46833.0,5209500.0
2016-04-05,1469,1479,1452,1475,33777,47042.0,5209500.0
2016-04-06,1474,1549,1459,1527,82395,48709.0,5209500.0
2016-04-07,1526,1572,1487,1527,60931,48709.0,5209500.0
2016-04-08,1526,1538,1505,1527,35652,48709.0,5209500.0
2016-04-11,1528,1568,1528,1550,41374,49438.0,5209500.0
2016-04-12,1530,1568,1530,1550,37024,49438.0,5209500.0
2016-04-14,1576,1576,1530,1550,30344,49438.0,5209500.0
2016-04-15,1549,1562,1517,1537,48416,49021.0,5209500.0
2016-04-18,1518,1545,1518,1531,17421,48813.0,5209500.0
2016-04-19,1518,1583,1518,1547,15191,49334.0,5209500.0
2016-04-20,1546,1568,1522,1550,16765,49438.0,5209500.0
2016-04-21,1548,1862,1536,1634,299656,52095.0,5209500.0
2016-04-22,1641,1648,1596,1617,81603,51574.0,5209500.0
2016-04-25,1605,1681,1605,1609,52225,51314.0,5209500.0
2016-04-26,1626,1666,1600,1619,45574,51626.0,5209500.0
2016-04-27,1618,1630,1558,1598,41027,50949.0,5209500.0
2016-04-28,1580,1608,1564,1580,33894,50376.0,5209500.0
2016-04-29,1569,1593,1565,1576,25108,50272.0,5209500.0
2016-05-02,1578,1618,1567,1617,50017,51574.0,5209500.0
2016-05-03,1630,1649,1606,1642,59113,52355.0,5209500.0
2016-05-04,1633,1641,1610,1632,46912,52043.0,5209500.0
2016-05-09,1649,1657,1621,1632,46550,52043.0,5209500.0
2016-05-10,1633,1633,1601,1606,20528,51209.0,5209500.0
2016-05-11,1620,1620,1601,1617,10178,51574.0,5209500.0
2016-05-12,1618,1629,1606,1614,11099,51470.0,5209500.0
2016-05-13,1613,1628,1600,1612,9612,51418.0,5209500.0
2016-05-16,1610,1611,1553,1575,23070,50220.0,5209500.0
2016-05-17,1592,1592,1503,1534,27134,48917.0,5209500.0
2016-05-18,1505,1563,1482,1531,42531,48813.0,5209500.0
2016-05-19,1545,1545,1495,1524,8955,48605.0,5209500.0
2016-05-20,1493,1560,1493,1505,19498,47979.0,5209500.0
2016-05-23,1510,1614,1510,1570,31257,50063.0,5209500.0
2016-05-24,1568,1610,1565,1575,42073,50220.0,5209500.0
2016-05-25,1584,1591,1535,1550,36685,49438.0,5209500.0
2016-05-26,1530,1580,1530,1552,10007,49490.0,5209500.0
2016-05-27,1573,1573,1532,1541,10495,49126.0,5209500.0
2016-05-30,1527,1540,1506,1529,21353,48761.0,5209500.0
2016-05-31,1528,1573,1506,1573,63894,50167.0,5209500.0
2016-06-01,1629,1629,1575,1598,51374,50949.0,5209500.0
2016-06-02,1587,1587,1573,1583,14803,50480.0,5209500.0
2016-06-03,1598,1633,1545,1629,66827,51939.0,5209500.0
2016-06-07,1657,1845,1657,1797,404140,57304.0,5209500.0
2016-06-08,1836,2138,1770,1879,1283554,59909.0,5209500.0
2016-06-09,1861,2008,1746,2001,492497,63816.0,5209500.0
2016-06-10,2017,2213,1910,2018,633967,64337.0,5209500.0
2016-06-13,2163,2620,2163,2622,3209021,83612.0,5209500.0
2016-06-14,2833,2931,2475,2630,2457925,83873.0,5209500.0
2016-06-15,2677,2801,2555,2581,775821,82310.0,5209500.0
2016-06-16,2629,3087,2621,2924,1325579,93250.0,5209500.0
2016-06-17,2996,3012,2546,2687,1071520,85696.0,5209500.0
2016-06-20,2759,2825,2546,2557,652941,81529.0,5209500.0
2016-06-21,2613,2670,2442,2565,661443,81789.0,5209500.0
2016-06-22,2531,2653,2514,2655,350042,84654.0,5209500.0
2016-06-23,2637,3013,2637,2777,1050427,88562.0,5209500.0
2016-06-24,2834,3054,2547,2777,1200825,88562.0,5209500.0
2016-06-27,2775,2971,2703,2851,670511,90906.0,5209500.0
2016-06-28,2775,2914,2727,2753,450574,87780.0,5209500.0
2016-06-29,2817,2874,2637,2679,382183,85436.0,5209500.0
2016-06-30,2727,2768,2605,2679,232740,85436.0,5209500.0
2016-07-01,2662,2760,2637,2761,248993,88041.0,5209500.0
2016-07-04,2873,2914,2588,2622,477590,83612.0,5209500.0
2016-07-05,2638,2695,2580,2663,241686,86067.0,5280171.0
2016-07-06,2661,2703,2522,2589,245314,83691.0,5280171.0
2016-07-07,2597,2621,2498,2516,178448,81315.0,5280171.0
2016-07-08,2498,2507,2335,2426,387294,78411.0,5280171.0
2016-07-11,2417,2573,2392,2532,189277,81843.0,5280171.0
2016-07-12,2522,2555,2416,2426,142170,78411.0,5280171.0
2016-07-13,2507,2547,2335,2352,202606,76034.0,5280171.0
2016-07-14,2376,2416,2311,2361,117832,76298.0,5280171.0
2016-07-15,2384,2490,2344,2467,159743,79731.0,5280171.0
2016-07-18,2466,2514,2327,2385,189641,77090.0,5280171.0
2016-07-19,2383,2392,2270,2287,127029,73922.0,5280171.0
2016-07-20,2278,2760,2278,2679,773255,86595.0,5280171.0
2016-07-21,2629,2743,2612,2687,172480,86859.0,5280171.0
2016-07-22,2694,2694,2547,2614,140020,84483.0,5280171.0
2016-07-25,2620,2677,2555,2614,111989,84483.0,5280171.0
2016-07-26,2580,2621,2499,2606,96375,84219.0,5280171.0
2016-07-27,2540,2564,2327,2385,500969,77090.0,5280171.0
2016-07-28,2384,2613,2360,2467,267837,79731.0,5280171.0
2016-07-29,2475,2580,2475,2532,152687,81843.0,5280171.0
2016-08-01,2588,2710,2531,2622,168801,84747.0,5280171.0
2016-08-02,2597,2638,2416,2451,280113,79203.0,5280171.0
2016-08-03,2531,2645,2449,2451,363782,79203.0,5280171.0
2016-08-04,2376,2433,2287,2377,220857,76826.0,5280171.0
2016-08-05,2441,2481,2326,2328,161649,75242.0,5280171.0
2016-08-08,2335,2605,2335,2540,327482,82107.0,5280171.0
2016-08-09,2597,2736,2540,2704,482440,87387.0,5280171.0
2016-08-10,2760,2760,2605,2646,361663,85539.0,5280171.0
2016-08-11,2644,2808,2579,2720,318294,87915.0,5280171.0
2016-08-12,2612,2816,2588,2720,396772,87915.0,5280171.0
2016-08-16,2769,2964,2752,2891,609133,93459.0,5280171.0
2016-08-17,2906,3257,2572,2614,1885299,84483.0,5280171.0
2016-08-18,2923,3396,2751,3398,5453625,109828.0,5280171.0
2016-08-19,3414,3560,3176,3251,3360578,105075.0,5280171.0
2016-08-22,3291,3348,3103,3210,1191478,103755.0,5280171.0
2016-08-23,3209,3225,2989,3022,762628,97683.0,5280171.0
2016-08-24,2980,3021,2874,2908,841189,93987.0,5280171.0
2016-08-25,2891,2907,2793,2826,529991,91347.0,5280171.0
2016-08-26,2775,2801,2710,2712,437686,87651.0,5280171.0
2016-08-29,2710,2736,2466,2483,609710,80259.0,5280171.0
2016-08-30,2481,2612,2481,2491,362751,80523.0,5280171.0
2016-08-31,2490,2514,2254,2352,759112,76034.0,5280171.0
2016-09-01,2228,2286,2204,2263,440847,73130.0,5280171.0
2016-09-02,2253,2319,2212,2304,335932,74450.0,5280171.0
2016-09-05,2253,2261,2163,2205,373117,71282.0,5280171.0
2016-09-06,2213,2228,2106,2189,478491,70754.0,5280171.0
2016-09-07,2180,2180,2041,2058,389573,66530.0,5280171.0
2016-09-08,2058,2597,1960,2385,2718095,78623.0,5385171.0
2016-09-09,2319,2686,2254,2320,1555329,76469.0,5385171.0
2016-09-12,2421,2554,2319,2320,488737,51590.0,5385171.0
2016-09-13,2319,2373,2281,2310,185919,51375.0,5385171.0
2016-09-19,2290,2310,2239,2247,135818,49974.0,5385171.0
2016-09-20,2208,2276,2179,2196,143327,48844.0,5385171.0
2016-09-21,2196,2249,2179,2250,128505,50028.0,5385171.0
2016-09-22,2249,2404,2249,2342,215914,52075.0,5385171.0
2016-09-23,2409,2869,2307,2615,937247,58160.0,5385171.0
2016-09-26,2578,2784,2530,2651,296415,67401.0,6155365.0
2016-09-27,2651,2748,2603,2688,169290,68325.0,6155365.0
2016-09-28,2663,2772,2590,2627,176370,66786.0,6155365.0
2016-09-29,2590,2954,2578,2773,600551,70479.0,6155365.0
2016-09-30,2736,2917,2699,2700,296095,68632.0,6155365.0
2016-10-04,2748,2796,2639,2651,151684,67401.0,6155365.0
2016-10-05,2494,2590,2433,2494,609789,93990.0,9125200.0
2016-10-06,2518,2518,2387,2397,314046,90339.0,9125200.0
2016-10-07,2421,2469,2302,2320,217457,87419.0,9125200.0
2016-10-10,2278,2481,2278,2385,225532,89883.0,9125200.0
2016-10-11,2387,2433,2302,2322,168159,87511.0,9125200.0
2016-10-12,2346,2406,2278,2320,129488,87419.0,9125200.0
2016-10-13,2307,2343,2297,2300,105183,86689.0,9125200.0
2016-10-14,2283,2419,2283,2419,166651,91161.0,9125200.0
2016-10-17,2421,2457,2348,2351,210745,88606.0,9125200.0
2016-10-18,2351,2380,2283,2310,162102,87054.0,9125200.0
2016-10-19,2336,2373,2232,2245,128928,84591.0,9125200.0
2016-10-20,2230,2259,2167,2177,125283,82036.0,9125200.0
2016-10-21,2181,2198,2017,2095,143470,78933.0,9125200.0
2016-10-24,2065,2116,2012,2041,123973,76925.0,9125200.0
2016-10-25,2019,2302,2019,2158,509472,81306.0,9125200.0
2016-10-26,2135,2222,2123,2182,127904,82218.0,9125200.0
2016-10-27,2167,2176,2082,2160,72182,81397.0,9125200.0
2016-10-28,2142,2179,2034,2036,124784,76743.0,9125200.0
2016-10-31,2024,2034,1876,1894,119855,71359.0,9125200.0
2016-11-01,1816,2012,1816,1828,144115,68895.0,9125200.0
2016-11-02,1808,1912,1765,1831,129262,68987.0,9125200.0
2016-11-03,1777,1934,1767,1935,125554,72910.0,9125200.0
2016-11-04,1891,1942,1835,1840,104266,69352.0,9125200.0
2016-11-07,1845,1910,1842,1903,89365,71724.0,9125200.0
2016-11-08,1891,1912,1864,1884,97401,70994.0,9125200.0
2016-11-09,1886,1985,1685,1792,249502,67526.0,9125200.0
2016-11-10,1854,1893,1818,1881,98660,70903.0,9125200.0
2016-11-11,1879,1992,1847,1993,128178,75100.0,9125200.0
2016-11-14,2130,2336,2070,2070,666562,78020.0,9125200.0
2016-11-15,2070,2106,1966,1966,164839,74097.0,9125200.0
2016-11-16,2118,2542,2101,2373,5229682,89427.0,9125200.0
2016-11-17,2397,2409,2193,2196,1311111,82766.0,9125200.0
2016-11-18,2193,2736,2164,2494,6687617,93990.0,9125200.0
2016-11-21,2494,2833,2392,2446,3809121,92165.0,9125200.0
2016-11-22,2433,2651,2409,2470,1783672,93077.0,9125200.0
2016-11-23,2481,2554,2360,2361,830144,88971.0,9125200.0
2016-11-24,2433,2494,2363,2363,790013,89062.0,9125200.0
2016-11-25,2421,2530,2375,2388,722581,89974.0,9125200.0
2016-11-28,2373,2419,2242,2242,432712,84499.0,9125200.0
2016-11-29,2242,2353,2181,2245,739209,84591.0,9125200.0
2016-11-30,2251,2276,2152,2162,380798,81488.0,9125200.0
2016-12-01,2188,2220,2140,2141,237318,80667.0,9125200.0
2016-12-02,2140,2152,2034,2053,254885,77382.0,9125200.0
2016-12-05,2053,2053,1934,1940,396064,73093.0,9125200.0
2016-12-06,1942,2002,1917,1949,233737,73458.0,9125200.0
2016-12-07,1949,2036,1927,1976,243570,74462.0,9125200.0
2016-12-08,1975,2009,1949,1952,159368,73549.0,9125200.0
2016-12-09,1978,1978,1932,1947,155568,73367.0,9125200.0
2016-12-12,1954,2014,1954,1986,220321,74827.0,9125200.0
2016-12-13,1985,2004,1934,1969,226442,74188.0,9125200.0
2016-12-14,1971,1992,1896,1932,367332,72819.0,9125200.0
2016-12-15,1908,1992,1891,1986,234786,74827.0,9125200.0
2016-12-16,1985,2021,1961,1998,284185,75283.0,9125200.0
2016-12-19,1997,2050,1983,2039,214670,76834.0,9125200.0
2016-12-20,2053,2111,2014,2017,311987,76013.0,9125200.0
2016-12-21,2017,2060,2002,2061,219656,77655.0,9125200.0
2016-12-22,2060,2140,2060,2104,345414,79298.0,9125200.0
2016-12-23,2104,2290,2070,2223,888144,83769.0,9125200.0
2016-12-26,2227,2268,2188,2223,200677,83769.0,9125200.0
2016-12-27,2184,2232,2152,2216,258859,83496.0,9125200.0
2016-12-28,2208,2222,2167,2179,151990,82127.0,9125200.0
2016-12-29,2155,2184,2072,2078,278193,78294.0,9125200.0
2017-01-02,2082,2222,2082,2218,185254,83587.0,9125200.0
2017-01-03,2235,2293,2210,2252,213365,84864.0,9125200.0
2017-01-04,2259,2273,2230,2252,100845,84864.0,9125200.0
2017-01-05,2251,2310,2251,2293,198874,86416.0,9125200.0
2017-01-06,2283,2402,2283,2334,279956,87967.0,9125200.0
2017-01-09,2339,2368,2288,2303,163624,86781.0,9125200.0
2017-01-10,2334,2334,2179,2179,423969,82127.0,9125200.0
2017-01-11,2169,2293,2167,2191,502106,82583.0,9125200.0
2017-01-12,0,0,0,2191,0,82583.0,9125200.0
2017-01-13,0,0,0,2191,0,,
2017-01-16,0,0,0,2191,0,,
2017-01-17,0,0,0,2191,0,,
2017-01-18,0,0,0,2191,0,,
2017-01-19,0,0,0,2191,0,,
2017-01-20,0,0,0,2191,0,,
2017-01-23,0,0,0,2191,0,,
2017-01-24,0,0,0,2191,0,,
2017-01-25,0,0,0,2191,0,,
2017-01-26,0,0,0,2191,0,,
2017-01-31,0,0,0,2191,0,,
2017-02-01,0,0,0,2191,0,,
2017-02-02,0,0,0,2191,0,,
2017-02-03,2058,2227,1997,2028,6299270,76424.0,45626000.0
2017-02-06,2009,2040,1852,1901,2850383,71633.0,45626000.0
2017-02-07,1931,2451,1906,2379,38946789,89655.0,45626000.0
2017-02-08,2354,2366,2191,2222,8444572,83724.0,45626000.0
2017-02-09,2258,2560,2221,2300,34289555,86689.0,45626000.0
2017-02-10,2306,2403,2003,2143,12442494,80758.0,45626000.0
2017-02-13,2179,2227,2112,2113,4509020,79617.0,45626000.0
2017-02-14,2070,2112,2034,2064,3467710,77792.0,45626000.0
2017-02-15,2336,2500,2155,2173,36512485,81899.0,45626000.0
2017-02-16,2221,2233,2112,2204,7258994,83039.0,45626000.0
2017-02-17,2185,2227,2149,2179,4366444,82127.0,45626000.0
2017-02-20,2167,2221,2155,2155,3124485,81214.0,45626000.0
2017-02-21,2209,2518,2209,2288,39174121,86233.0,45626000.0
2017-02-22,2251,2324,2215,2325,5760438,87602.0,45626000.0
2017-02-23,2318,2366,2245,2246,4563275,84636.0,45626000.0
2017-02-24,2239,2318,2233,2300,4051701,86689.0,45626000.0
2017-02-27,2294,2336,2251,2300,2900569,86689.0,45626000.0
2017-02-28,2300,2330,2258,2264,2818203,85321.0,45626000.0
2017-03-02,2270,2330,2215,2216,3459262,83496.0,45626000.0
2017-03-03,2245,2306,2167,2185,3722487,82355.0,45626000.0
2017-03-06,2179,2203,2130,2131,2022064,80302.0,45626000.0
2017-03-07,2173,2215,2112,2179,2579644,82127.0,45626000.0
2017-03-08,2173,2203,2149,2191,1478817,82583.0,45626000.0
2017-03-09,2191,2215,2112,2113,2081408,79617.0,45626000.0
2017-03-10,2118,2155,1997,2101,2098116,79161.0,45626000.0
2017-03-13,2094,2124,2082,2089,1186061,78705.0,45626000.0
2017-03-14,2112,2142,2088,2137,1693190,80530.0,45626000.0
