와이아이케이(232140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-03-15,2046,2057,2036,2042,48176,20656.0,10620000.0
2016-03-16,2041,2046,2036,2047,5018,20709.0,10620000.0
2016-03-17,2046,2052,2041,2052,14839,20762.0,10620000.0
2016-03-18,2052,2052,2046,2047,14539,20709.0,10620000.0
2016-03-21,2046,2046,2041,2047,9137,20709.0,10620000.0
2016-03-22,2046,2046,2041,2047,7511,20709.0,10620000.0
2016-03-23,2046,2052,2041,2052,10904,20762.0,10620000.0
2016-03-24,2052,2057,2052,2057,2161,20815.0,10620000.0
2016-03-25,2046,2067,2046,2068,8653,20921.0,10620000.0
2016-03-28,2073,2073,2052,2057,491,20815.0,10620000.0
2016-03-29,2073,2073,2057,2063,14448,20868.0,10620000.0
2016-03-30,2062,2062,2057,2063,16754,20868.0,10620000.0
2016-03-31,2052,2062,2052,2057,9461,20815.0,10620000.0
2016-04-01,2073,2073,2062,2068,1504,20921.0,10620000.0
2016-04-04,2067,2067,2057,2068,12,20921.0,10620000.0
2016-04-05,2067,2067,2062,2063,103,20868.0,10620000.0
2016-04-06,2062,2062,2062,2063,5910,20868.0,10620000.0
2016-04-07,2073,2073,2067,2068,501,20921.0,10620000.0
2016-04-08,2073,2073,2057,2063,4812,20868.0,10620000.0
2016-04-11,2062,2062,2057,2057,1101,20815.0,10620000.0
2016-04-12,2067,2067,2057,2057,2001,20815.0,10620000.0
2016-04-14,2057,2073,2046,2073,5012,20974.0,10620000.0
2016-04-15,2073,2073,2073,2073,0,,
2016-04-18,2057,2067,2057,2068,71,20921.0,10620000.0
2016-04-19,2052,2052,2052,2052,500,20762.0,10620000.0
2016-04-20,2062,2062,2046,2047,4131,20709.0,10620000.0
2016-04-21,2046,2062,2041,2063,6341,20868.0,10620000.0
2016-04-22,2041,2052,2041,2052,1102,20762.0,10620000.0
2016-04-25,2046,2057,2041,2047,1901,20709.0,10620000.0
2016-04-26,2046,2052,2046,2047,3592,20709.0,10620000.0
2016-04-27,2041,2046,2036,2047,902,20709.0,10620000.0
2016-04-28,2041,2052,2036,2047,4312,20709.0,10620000.0
2016-04-29,2036,2057,2036,2052,51856,20762.0,10620000.0
2016-05-02,2041,2057,2036,2057,8374,20815.0,10620000.0
2016-05-03,2041,2057,2041,2047,10001,20709.0,10620000.0
2016-05-04,2057,2057,2046,2057,5060,20815.0,10620000.0
2016-05-09,2046,2057,2046,2057,1325,20815.0,10620000.0
2016-05-10,2067,2067,2067,2068,1,20921.0,10620000.0
2016-05-11,2078,2078,2067,2068,2,20921.0,10620000.0
2016-05-12,2046,2067,2046,2052,2742,20762.0,10620000.0
2016-05-13,2052,2052,2052,2052,11,20762.0,10620000.0
2016-05-16,2057,2057,2046,2052,452,20762.0,10620000.0
2016-05-17,2052,2062,2052,2063,2,20868.0,10620000.0
2016-05-18,2041,2067,2041,2063,3212,20868.0,10620000.0
2016-05-19,2041,2057,2041,2057,23,20815.0,10620000.0
2016-05-20,2046,2062,2046,2063,15410,20868.0,10620000.0
2016-05-23,2062,2073,2057,2073,11081,20974.0,10620000.0
2016-05-24,2067,2073,2067,2073,101,20974.0,10620000.0
2016-05-25,2073,2073,2073,2073,0,,
2016-05-26,2046,2073,2046,2073,177,20974.0,10620000.0
2016-05-27,2067,2067,2046,2057,18021,20815.0,10620000.0
2016-05-30,2057,2057,2041,2047,604,20709.0,10620000.0
2016-05-31,2046,2046,2041,2047,19862,20709.0,10620000.0
2016-06-01,2036,2057,2036,2057,521,20815.0,10620000.0
2016-06-02,2057,2057,2057,2057,10,20815.0,10620000.0
2016-06-03,2052,2052,2052,2052,7817,20762.0,10620000.0
2016-06-07,2052,2052,1994,2047,5710,20709.0,10620000.0
2016-06-08,2046,2046,2046,2047,0,20709.0,10620000.0
2016-06-09,2031,2046,2031,2047,249,20709.0,10620000.0
2016-06-10,2046,2046,2046,2047,0,,
2016-06-13,2052,2052,2031,2052,4003,20762.0,10620000.0
2016-06-14,2041,2041,2041,2042,0,20656.0,10620000.0
2016-06-15,2057,2078,2036,2057,27268,20815.0,10620000.0
2016-06-16,2057,2057,2057,2057,0,20815.0,10620000.0
2016-06-17,2057,2057,2057,2057,10471,20815.0,10620000.0
2016-06-20,2057,2057,2057,2057,3801,20815.0,10620000.0
2016-06-21,2062,2062,2062,2063,10500,20868.0,10620000.0
2016-06-22,2062,2062,2057,2063,7886,20868.0,10620000.0
2016-06-23,2057,2057,2057,2057,2805,20815.0,10620000.0
2016-06-24,2052,2057,2052,2057,6401,20815.0,10620000.0
2016-06-27,2057,2057,2057,2057,0,,
2016-06-28,2057,2057,2041,2057,34,20815.0,10620000.0
2016-06-29,2062,2099,2062,2089,2418,21134.0,10620000.0
2016-06-30,2067,2099,2067,2099,10001,21240.0,10620000.0
2016-07-01,2099,2099,2099,2099,10013,21240.0,10620000.0
2016-07-04,2067,2099,2067,2099,13,21240.0,10620000.0
2016-07-05,2088,2104,2088,2099,58433,21240.0,10620000.0
2016-07-06,2099,2099,2099,2099,2085,21240.0,10620000.0
2016-07-07,2052,2094,2052,2089,8901,21134.0,10620000.0
2016-07-08,2094,2141,2067,2099,4951,21240.0,10620000.0
2016-07-11,2109,2109,2078,2099,12544,21240.0,10620000.0
2016-07-12,2109,2120,2078,2110,80135,21346.0,10620000.0
2016-07-13,2109,2109,2088,2110,37284,21346.0,10620000.0
2016-07-14,2151,2151,2078,2110,5223,21346.0,10620000.0
2016-07-15,2088,2115,2088,2105,27433,21293.0,10620000.0
2016-07-18,2109,2109,2088,2089,9315,21134.0,10620000.0
2016-07-19,2088,2088,2088,2089,65,21134.0,10620000.0
2016-07-20,2094,2094,2046,2047,8253,20709.0,10620000.0
2016-07-21,2083,2177,2078,2152,21530,21771.0,10620000.0
2016-07-22,2088,2141,2073,2094,62238,21187.0,10620000.0
2016-07-25,2094,2099,2062,2094,9985,21187.0,10620000.0
2016-07-26,2099,2099,2073,2089,4061,21134.0,10620000.0
2016-07-27,2088,2094,2073,2089,2881,21134.0,10620000.0
2016-07-28,2088,2088,2078,2084,2156,21081.0,10620000.0
2016-07-29,2088,2099,2088,2089,13147,21134.0,10620000.0
2016-08-01,2094,2109,2088,2099,5923,21240.0,10620000.0
2016-08-02,2088,2151,2088,2131,21362,21559.0,10620000.0
2016-08-03,2099,2156,2099,2141,47216,21665.0,10620000.0
2016-08-04,2104,2146,2067,2094,9650,21187.0,10620000.0
2016-08-05,2151,2151,2073,2105,11610,21293.0,10620000.0
2016-08-08,2104,2130,2073,2073,5896,20974.0,10620000.0
2016-08-09,2135,2135,2099,2110,8001,21346.0,10620000.0
2016-08-10,2099,2099,2099,2099,1000,21240.0,10620000.0
2016-08-11,2094,2099,2078,2099,6722,21240.0,10620000.0
2016-08-12,2078,2099,2073,2094,7041,21187.0,10620000.0
2016-08-16,2094,2135,2088,2136,6763,21612.0,10620000.0
2016-08-17,2099,2135,2099,2099,15941,21240.0,10620000.0
2016-08-18,2115,2115,2109,2110,752,21346.0,10620000.0
2016-08-19,2099,2109,2099,2110,2702,21346.0,10620000.0
2016-08-22,2099,2099,2083,2084,24833,21081.0,10620000.0
2016-08-23,2078,2099,2078,2099,13450,21240.0,10620000.0
2016-08-24,2104,2109,2099,2105,4108,21293.0,10620000.0
2016-08-25,2104,2109,2088,2110,3166,21346.0,10620000.0
2016-08-26,2104,2125,2104,2110,14687,21346.0,10620000.0
2016-08-29,2088,2125,2088,2110,1505,21346.0,10620000.0
2016-08-30,2115,2125,2104,2110,6154,21346.0,10620000.0
2016-08-31,2125,2125,2115,2115,710,21399.0,10620000.0
2016-09-01,2099,2256,2094,2099,218919,21240.0,10620000.0
2016-09-02,2141,2141,2099,2105,89312,21293.0,10620000.0
2016-09-05,2104,2125,2099,2105,79523,21293.0,10620000.0
2016-09-06,2099,2109,2094,2099,220962,21240.0,10620000.0
2016-09-07,2099,2115,2099,2105,24188,21293.0,10620000.0
2016-09-08,2120,2120,2099,2105,138795,21293.0,10620000.0
2016-09-09,2094,2115,2094,2105,83136,21293.0,10620000.0
2016-09-12,2104,2109,2094,2110,37992,21346.0,10620000.0
2016-09-13,2115,2115,2099,2110,44410,21346.0,10620000.0
2016-09-19,2109,2109,2094,2110,15760,21346.0,10620000.0
2016-09-20,2109,2109,2099,2110,25688,21346.0,10620000.0
2016-09-21,2094,2109,2094,2099,18596,21240.0,10620000.0
2016-09-22,2094,2109,2094,2094,32411,21187.0,10620000.0
2016-09-23,2104,2104,2088,2105,29105,21293.0,10620000.0
2016-09-26,2094,2109,2088,2105,15702,21293.0,10620000.0
2016-09-27,2099,2099,2094,2099,16503,21240.0,10620000.0
2016-09-28,2099,2120,2094,2115,20254,21399.0,10620000.0
2016-09-29,0,0,0,2115,0,21399.0,10620000.0
2016-09-30,0,0,0,2115,0,,
2016-10-04,0,0,0,2115,0,,
2016-10-05,0,0,0,2115,0,,
2016-10-06,0,0,0,2115,0,,
2016-10-07,0,0,0,2115,0,,
2016-10-10,0,0,0,2115,0,,
2016-10-11,0,0,0,2115,0,,
2016-10-12,0,0,0,2115,0,,
2016-10-13,0,0,0,2115,0,,
2016-10-14,0,0,0,2115,0,,
2016-10-17,0,0,0,2115,0,,
2016-10-18,0,0,0,2115,0,,
2016-10-19,0,0,0,2115,0,,
2016-10-20,0,0,0,2115,0,,
2016-10-21,0,0,0,2115,0,,
2016-10-24,0,0,0,2115,0,,
2016-10-25,0,0,0,2115,0,,
2016-10-26,0,0,0,2115,0,,
2016-10-27,0,0,0,2115,0,,
2016-10-28,0,0,0,2115,0,,
2016-10-31,0,0,0,2115,0,,
2016-11-01,0,0,0,2115,0,,
2016-11-02,0,0,0,2115,0,,
2016-11-03,0,0,0,2115,0,,
2016-11-04,0,0,0,2115,0,,
2016-11-07,0,0,0,2115,0,,
2016-11-08,0,0,0,2115,0,,
2016-11-09,0,0,0,2115,0,,
2016-11-10,0,0,0,2115,0,,
2016-11-11,0,0,0,2115,0,,
2016-11-14,0,0,0,2115,0,,
2016-11-15,0,0,0,2115,0,,
2016-11-16,0,0,0,2115,0,,
2016-11-17,0,0,0,2115,0,,
2016-11-18,0,0,0,2115,0,,
2016-11-21,0,0,0,2115,0,,
2016-11-22,0,0,0,2115,0,,
2016-11-23,0,0,0,2115,0,,
2016-11-24,0,0,0,2115,0,,
2016-11-25,0,0,0,2115,0,,
2016-11-28,0,0,0,2115,0,,
2016-11-29,0,0,0,2115,0,,
2016-11-30,0,0,0,2115,0,,
2016-12-01,0,0,0,2115,0,,
2016-12-02,0,0,0,2115,0,,
2016-12-05,0,0,0,2115,0,,
2016-12-06,0,0,0,2115,0,,
2016-12-07,0,0,0,2115,0,,
2016-12-08,0,0,0,2115,0,,
2016-12-09,0,0,0,2115,0,,
2016-12-12,0,0,0,2115,0,,
2016-12-13,0,0,0,2115,0,,
2016-12-14,0,0,0,2115,0,,
2016-12-15,2115,2440,2025,2175,2209182,23098.0,10620000.0
2016-12-16,2175,2455,2150,2355,2052733,25010.0,10620000.0
2016-12-19,2310,2450,2270,2350,626847,24957.0,10620000.0
2016-12-20,2350,2445,2315,2355,278851,25010.0,10620000.0
2016-12-21,2355,2420,2330,2350,190166,24957.0,10620000.0
2016-12-22,2395,2405,2330,2380,302295,25276.0,10620000.0
2016-12-23,2360,2445,2360,2445,249116,25966.0,10620000.0
2016-12-26,2445,2685,2445,2615,915589,27771.0,10620000.0
2016-12-27,2615,2735,2615,2700,502479,28674.0,10620000.0
2016-12-28,2695,2810,2635,2800,223341,29736.0,10620000.0
2016-12-29,2795,2840,2700,2770,255522,29417.0,10620000.0
2017-01-02,2790,2790,2600,2700,400608,28674.0,10620000.0
2017-01-03,2650,2735,2645,2730,509376,28993.0,10620000.0
2017-01-04,2750,2750,2660,2680,226899,28462.0,10620000.0
2017-01-05,2700,2790,2630,2780,434475,29524.0,10620000.0
2017-01-06,2795,2920,2735,2780,504672,29524.0,10620000.0
2017-01-09,2800,2980,2750,2865,310761,30426.0,10620000.0
2017-01-10,2900,2945,2840,2875,528962,30532.0,10620000.0
2017-01-11,2900,3075,2900,2970,1158601,31541.0,10620000.0
2017-01-12,2955,3050,2935,3010,323282,31966.0,10620000.0
2017-01-13,3080,3160,3025,3060,294921,32497.0,10620000.0
2017-01-16,3060,3110,2955,3020,380824,32072.0,10620000.0
2017-01-17,3050,3070,2955,2995,97617,31807.0,10620000.0
2017-01-18,2900,3005,2900,3005,126385,31913.0,10620000.0
2017-01-19,3005,3015,2970,3000,362623,31860.0,10620000.0
2017-01-20,3090,3090,2975,3000,242790,31860.0,10620000.0
2017-01-23,2975,3040,2975,2995,83892,31807.0,10620000.0
2017-01-24,2955,3030,2925,3030,557015,32179.0,10620000.0
2017-01-25,3025,3085,2990,3050,405238,32391.0,10620000.0
2017-01-26,3050,3245,3030,3235,230656,34356.0,10620000.0
2017-01-31,3170,3350,3170,3285,164479,34887.0,10620000.0
2017-02-01,3285,3365,3250,3285,55714,34887.0,10620000.0
2017-02-02,3260,3345,3225,3285,113881,34887.0,10620000.0
2017-02-03,3300,3300,3220,3260,55758,34621.0,10620000.0
2017-02-06,3300,3300,3100,3170,206470,33665.0,10620000.0
2017-02-07,3125,3200,3020,3145,322628,33400.0,10620000.0
2017-02-08,3175,3175,3080,3130,22969,33241.0,10620000.0
2017-02-09,3170,3170,3080,3120,44173,33134.0,10620000.0
2017-02-10,3135,3145,2995,3070,126553,32603.0,10620000.0
2017-02-13,3080,3080,3025,3070,31637,32603.0,10620000.0
2017-02-14,3100,3100,2950,3050,308115,32391.0,10620000.0
2017-02-15,2970,3050,2960,3030,106271,32179.0,10620000.0
2017-02-16,3030,3060,2990,3040,121407,32285.0,10620000.0
2017-02-17,3045,3110,2985,3075,98089,32656.0,10620000.0
2017-02-20,3040,3085,3040,3080,62817,32710.0,10620000.0
2017-02-21,3035,3240,3035,3090,48099,32816.0,10620000.0
2017-02-22,3030,3100,3030,3060,125933,32497.0,10620000.0
2017-02-23,3030,3120,2980,3035,111923,32232.0,10620000.0
2017-02-24,3000,3010,2970,3010,113327,31966.0,10620000.0
2017-02-27,2995,3000,2930,2995,95058,31807.0,10620000.0
2017-02-28,3025,3025,2970,2995,111039,31807.0,10620000.0
2017-03-02,2995,2995,2865,2900,433951,30798.0,10620000.0
2017-03-03,2855,2900,2820,2900,123360,30798.0,10620000.0
2017-03-06,2900,2995,2855,2945,300636,31276.0,10620000.0
2017-03-07,2895,2970,2895,2965,155145,31488.0,10620000.0
2017-03-08,2965,3055,2940,3055,250366,32444.0,10620000.0
2017-03-09,3090,3115,3015,3080,58992,32710.0,10620000.0
2017-03-10,3005,3100,3005,3085,62526,32763.0,10620000.0
2017-03-13,3085,3085,3000,3085,81609,32763.0,10620000.0
2017-03-14,3095,3095,3050,3085,49458,32763.0,10620000.0
2017-03-15,3070,3085,3020,3055,41134,32444.0,10620000.0
2017-03-16,3040,3090,3010,3080,50843,32710.0,10620000.0
2017-03-17,3050,3200,3000,3080,111363,32710.0,10620000.0
2017-03-20,3190,3190,3000,3060,32851,32497.0,10620000.0
2017-03-21,3000,3065,2980,3050,54016,32391.0,10620000.0
2017-03-22,3050,3060,2960,3050,31368,32391.0,10620000.0
2017-03-23,3000,3010,2925,2980,84092,31648.0,10620000.0
2017-03-24,2920,3000,2920,2980,118456,31648.0,10620000.0
2017-03-27,2925,3030,2900,2920,49520,31010.0,10620000.0
2017-03-28,2920,2920,2825,2920,111468,31010.0,10620000.0
2017-03-29,2995,2995,2875,2970,112289,31541.0,10620000.0
2017-03-30,3030,3080,2885,2995,132884,31807.0,10620000.0
2017-03-31,2995,2995,2905,2950,80598,31329.0,10620000.0
2017-04-03,2900,2995,2890,2950,139167,31329.0,10620000.0
2017-04-04,2910,3125,2895,3100,364408,32922.0,10620000.0
2017-04-05,3110,3175,3010,3130,322757,189704.0,60608456.0
2017-04-06,3130,3190,3095,3140,201342,190311.0,60608456.0
2017-04-07,3105,3140,3050,3120,131271,189098.0,60608456.0
2017-04-10,3120,3120,3000,3000,135274,181825.0,60608456.0
2017-04-11,3015,3080,3005,3005,85475,182128.0,60608456.0
2017-04-12,3050,3315,2900,3160,1204021,191523.0,60608456.0
2017-04-13,3110,3235,3085,3200,632061,193947.0,60608456.0
2017-04-14,3215,3295,3100,3160,302826,191523.0,60608456.0
2017-04-17,3165,3245,3150,3195,204440,193644.0,60608456.0
2017-04-18,3195,3285,3140,3285,451095,199099.0,60608456.0
2017-04-19,3295,3620,3285,3495,1290420,211827.0,60608456.0
2017-04-20,3475,3575,3435,3540,288085,214554.0,60608456.0
2017-04-21,3510,3640,3475,3600,282395,218190.0,60608456.0
2017-04-24,3600,3745,3510,3530,384882,213948.0,60608456.0
2017-04-25,3540,3610,3460,3610,186607,218797.0,60608456.0
2017-04-26,3610,3610,3490,3570,128462,216372.0,60608456.0
2017-04-27,3570,3595,3490,3500,94888,212130.0,60608456.0
2017-04-28,3540,3595,3490,3555,114387,215463.0,60608456.0
2017-05-02,3595,3595,3510,3530,73034,213948.0,60608456.0
2017-05-04,3510,3735,3510,3570,86255,216372.0,60608456.0
2017-05-08,3630,3630,3535,3560,79783,215766.0,60608456.0
2017-05-10,3625,3625,3415,3440,210909,208493.0,60608456.0
2017-05-11,3420,3445,3290,3375,259187,204554.0,60608456.0
2017-05-12,3380,3380,3285,3300,284057,200008.0,60608456.0
2017-05-15,3285,3610,3215,3375,571659,204554.0,60608456.0
2017-05-16,3425,3430,3190,3250,248842,196977.0,60608456.0
2017-05-17,3300,3300,3100,3250,304687,196977.0,60608456.0
2017-05-18,3140,3400,3140,3400,208988,206069.0,60608456.0
2017-05-19,3395,3465,3265,3345,410809,202735.0,60608456.0
2017-05-22,3345,3395,3275,3380,221825,204857.0,60608456.0
2017-05-23,3390,3415,3335,3390,176548,205463.0,60608456.0
2017-05-24,3380,3465,3285,3340,167485,202432.0,60608456.0
2017-05-25,3340,3340,3125,3180,402733,192735.0,60608456.0
2017-05-26,3210,3310,3120,3180,576455,192735.0,60608456.0
2017-05-29,3250,3280,3180,3210,202403,194553.0,60608456.0
2017-05-30,3210,3395,3185,3370,391701,204250.0,60608456.0
2017-05-31,3370,3370,3300,3350,120004,203038.0,60608456.0
2017-06-01,3370,3370,3300,3345,159143,202735.0,60608456.0
2017-06-02,3345,3345,3285,3335,162849,202129.0,60608456.0
2017-06-05,3330,3400,3250,3350,212098,203038.0,60608456.0
2017-06-07,3320,3390,3300,3375,172941,204554.0,60608456.0
2017-06-08,3370,3570,3320,3550,596661,215160.0,60608456.0
2017-06-09,3530,3625,3450,3550,523316,215160.0,60608456.0
2017-06-12,3500,3500,3400,3425,279119,207584.0,60608456.0
2017-06-13,3380,3380,3180,3215,672395,194856.0,60608456.0
2017-06-14,3210,3240,3080,3085,562708,186977.0,60608456.0
2017-06-15,3095,3265,3080,3245,245976,196674.0,60608456.0
2017-06-16,3270,3330,3220,3255,214896,197281.0,60608456.0
2017-06-19,3290,3320,3210,3320,130355,201220.0,60608456.0
2017-06-20,3320,3330,3220,3320,59483,201220.0,60608456.0
2017-06-21,3195,3320,3195,3320,67389,201220.0,60608456.0
2017-06-22,3360,3675,3280,3455,313510,209402.0,60608456.0
2017-06-23,3455,3500,3380,3485,187046,211220.0,60608456.0
2017-06-26,3485,3485,3395,3425,114462,207584.0,60608456.0
2017-06-27,3500,3575,3390,3525,440726,213645.0,60608456.0
2017-06-28,3460,3500,3375,3385,141261,205160.0,60608456.0
2017-06-29,3455,3515,3330,3505,198950,212433.0,60608456.0
2017-06-30,3455,3525,3405,3460,107732,209705.0,60608456.0
2017-07-03,3500,3500,3365,3455,99382,209402.0,60608456.0
2017-07-04,3455,3460,3350,3390,77003,205463.0,60608456.0
2017-07-05,3300,3445,3260,3435,326761,208190.0,60608456.0
2017-07-06,3400,3545,3400,3495,408145,211827.0,60608456.0
2017-07-07,3500,3650,3450,3565,416070,216069.0,60608456.0
2017-07-10,3590,3620,3460,3540,166203,214554.0,60608456.0
2017-07-11,3555,3590,3445,3490,149090,211524.0,60608456.0
2017-07-12,3490,3490,3425,3455,82466,209402.0,60608456.0
2017-07-13,3455,3565,3455,3510,217743,212736.0,60608456.0
2017-07-14,3565,3565,3450,3480,97223,210917.0,60608456.0
2017-07-17,3455,3515,3445,3510,126131,212736.0,60608456.0
2017-07-18,3510,3790,3495,3760,965438,227888.0,60608456.0
2017-07-19,3800,3840,3685,3705,533845,224554.0,60608456.0
2017-07-20,3710,3840,3660,3825,670974,231827.0,60608456.0
2017-07-21,3820,3900,3670,3850,1240522,233343.0,60608456.0
2017-07-24,3850,3925,3770,3770,429346,228494.0,60608456.0
2017-07-25,3725,3760,3595,3600,546715,218190.0,60608456.0
2017-07-26,3600,3640,3445,3570,556861,216372.0,60608456.0
2017-07-27,3515,3565,3450,3520,249625,213342.0,60608456.0
2017-07-28,3520,3520,3300,3365,397137,203947.0,60608456.0
2017-07-31,3305,3355,3265,3355,139017,203341.0,60608456.0
2017-08-01,3315,3375,3285,3340,148076,202432.0,60608456.0
2017-08-02,3325,3400,3260,3375,258399,204554.0,60608456.0
2017-08-03,3380,3380,3090,3195,439261,193644.0,60608456.0
2017-08-04,3220,3220,3115,3195,87085,193644.0,60608456.0
2017-08-07,3180,3230,3170,3215,61768,194856.0,60608456.0
2017-08-08,3200,3285,3200,3280,40962,198796.0,60608456.0
2017-08-09,3280,3280,3010,3150,131383,190917.0,60608456.0
2017-08-10,3180,3180,2995,3100,80089,187886.0,60608456.0
2017-08-11,3025,3075,2975,2980,85258,180613.0,60608456.0
2017-08-14,3005,3075,3000,3025,17405,183341.0,60608456.0
2017-08-16,3120,3120,2985,3020,120494,183038.0,60608456.0
2017-08-17,3005,3070,2995,3065,58602,185765.0,60608456.0
2017-08-18,3065,3105,3015,3105,60980,188189.0,60608456.0
2017-08-21,3115,3200,3050,3185,85517,193038.0,60608456.0
2017-08-22,3185,3210,3100,3145,65604,190614.0,60608456.0
2017-08-23,3210,3210,3100,3150,90792,190917.0,60608456.0
2017-08-24,3100,3200,3100,3135,53701,190008.0,60608456.0
2017-08-25,3095,3145,3065,3125,157090,189401.0,60608456.0
2017-08-28,3095,3130,3065,3100,116518,187886.0,60608456.0
2017-08-29,3110,3180,3050,3135,150397,190008.0,60608456.0
2017-08-30,3145,3270,3135,3240,291894,196371.0,60608456.0
2017-08-31,3350,3355,3260,3270,261234,198190.0,60608456.0
2017-09-01,3320,3320,3190,3240,155366,196371.0,60608456.0
2017-09-04,3125,3175,3070,3145,149382,190614.0,60608456.0
2017-09-05,3200,3200,3055,3095,82130,187583.0,60608456.0
2017-09-06,3100,3175,3100,3150,71884,190917.0,60608456.0
2017-09-07,3195,3275,3190,3230,46636,195765.0,60608456.0
2017-09-08,3230,3250,3185,3230,61585,195765.0,60608456.0
2017-09-11,3160,3290,3160,3240,77811,196371.0,60608456.0
2017-09-12,3280,3405,3230,3320,1079715,201220.0,60608456.0
2017-09-13,3395,3415,3280,3320,472380,201220.0,60608456.0
2017-09-14,3320,3320,3170,3285,263170,199099.0,60608456.0
2017-09-15,3270,3285,3195,3210,102566,194553.0,60608456.0
2017-09-18,3210,3300,3165,3280,117911,198796.0,60608456.0
2017-09-19,3280,3280,3145,3230,156203,195765.0,60608456.0
2017-09-20,3235,3280,3150,3200,149440,193947.0,60608456.0
2017-09-21,3210,3255,3100,3145,193525,190614.0,60608456.0
2017-09-22,3140,3170,3040,3055,117850,185159.0,60608456.0
2017-09-25,2915,3060,2900,2990,157630,181219.0,60608456.0
2017-09-26,2990,3010,2930,2940,57258,178189.0,60608456.0
2017-09-27,2995,3025,2935,3010,56104,182431.0,60608456.0
2017-09-28,3045,3050,2980,3000,45113,181825.0,60608456.0
2017-09-29,3025,3150,2985,3020,43555,183038.0,60608456.0
2017-10-10,3130,3130,2975,2995,45783,181522.0,60608456.0
2017-10-11,3000,3015,2935,2960,123669,179401.0,60608456.0
2017-10-12,2940,2945,2820,2895,296647,175461.0,60608456.0
2017-10-13,2875,2900,2785,2855,185331,173037.0,60608456.0
2017-10-16,2860,2860,2670,2720,296823,164855.0,60608456.0
2017-10-17,2800,2825,2730,2810,126696,170310.0,60608456.0
2017-10-18,2755,2910,2755,2850,160368,172734.0,60608456.0
2017-10-19,2825,2930,2825,2915,189749,176674.0,60608456.0
