세방(004360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-05-28,2701,2754,2625,2700,28900,35500.0,1000000.0
1999-05-31,2701,2808,2663,2731,79200,35900.0,1000000.0
1999-06-01,2732,2732,2602,2731,42700,35900.0,1000000.0
1999-06-02,2808,2808,2701,2731,70200,35900.0,1000000.0
1999-06-03,2735,2739,2663,2731,157600,35900.0,1000000.0
1999-06-04,2807,2830,2739,2776,52200,36500.0,1000000.0
1999-06-07,2880,2880,2777,2815,97600,37000.0,1000000.0
1999-06-08,2853,2853,2777,2815,92600,37000.0,1000000.0
1999-06-09,2815,2815,2701,2708,64800,35600.0,1000000.0
1999-06-10,2708,2773,2674,2693,156800,35400.0,1000000.0
1999-06-11,2701,2853,2671,2807,285900,36900.0,1000000.0
1999-06-14,2708,2757,2700,2757,48500,36250.0,1000000.0
1999-06-15,2739,2754,2530,2579,76400,33900.0,1000000.0
1999-06-16,2586,2678,2552,2594,43300,34100.0,1000000.0
1999-06-17,2595,2625,2526,2549,86600,33500.0,1000000.0
1999-06-18,2572,2618,2549,2549,57800,33500.0,1000000.0
1999-06-21,2548,2548,2442,2464,135800,32400.0,1000000.0
1999-06-22,2465,2617,2419,2510,248200,33000.0,1000000.0
1999-06-23,2511,2625,2511,2609,76200,34300.0,1000000.0
1999-06-24,2610,2636,2564,2571,44200,33800.0,1000000.0
1999-06-25,2549,2671,2549,2670,103100,35100.0,1000000.0
1999-06-28,3005,3070,2929,3070,758900,40350.0,1000000.0
1999-06-29,3264,3530,3233,3271,954800,43000.0,1000000.0
1999-06-30,3195,3211,2975,3119,234700,41000.0,1000000.0
1999-07-01,3043,3347,2967,2966,249400,39000.0,1000000.0
1999-07-02,3127,3340,3127,3286,304200,43200.0,1000000.0
1999-07-05,3332,3689,3332,3461,310400,45500.0,1000000.0
1999-07-06,3447,3447,3317,3347,129500,44000.0,1000000.0
1999-07-07,3294,3325,3173,3309,229400,43500.0,1000000.0
1999-07-08,3241,3378,3211,3301,119500,43400.0,1000000.0
1999-07-09,3238,3272,3203,3226,133900,42400.0,1000000.0
1999-07-12,3195,3347,3195,3195,143300,42000.0,1000000.0
1999-07-13,3188,3195,3043,3119,115700,41000.0,1000000.0
1999-07-14,3066,3157,3013,3020,76000,39700.0,1000000.0
1999-07-15,3020,3074,2967,3066,66500,40300.0,1000000.0
1999-07-16,3089,3256,3020,3195,102700,42000.0,1000000.0
1999-07-19,3195,3271,3088,3156,156300,41500.0,1000000.0
1999-07-20,3104,3157,3020,3081,77400,40500.0,1000000.0
1999-07-21,3043,3112,2937,3005,111800,39500.0,1000000.0
1999-07-22,2944,2990,2898,2966,56400,39000.0,1000000.0
1999-07-23,3150,3150,2891,2890,73000,38000.0,1000000.0
1999-07-26,2815,2815,2511,2632,91800,34600.0,1000000.0
1999-07-27,2586,2731,2586,2662,64700,35000.0,1000000.0
1999-07-28,2625,2815,2625,2739,52200,36000.0,1000000.0
1999-07-29,2815,2883,2777,2830,88300,37200.0,1000000.0
1999-07-30,2830,2830,2662,2749,57500,36150.0,1000000.0
1999-08-02,2689,2757,2689,2757,55400,36250.0,1000000.0
1999-08-03,2811,2811,2671,2739,48100,36000.0,1000000.0
1999-08-04,2693,2808,2693,2746,18300,36100.0,1000000.0
1999-08-05,2746,2746,2701,2700,29700,35500.0,1000000.0
1999-08-06,2701,2739,2663,2704,29700,35550.0,1000000.0
1999-08-09,2519,2808,2519,2670,14500,35100.0,1000000.0
1999-08-10,2671,2716,2625,2685,27300,35300.0,1000000.0
1999-08-11,2685,2708,2594,2662,12000,35000.0,1000000.0
1999-08-12,2624,2700,2624,2662,10900,35000.0,1000000.0
1999-08-13,2739,2739,2571,2654,15100,34900.0,1000000.0
1999-08-16,2586,2723,2548,2654,19700,34900.0,1000000.0
1999-08-17,2731,2731,2586,2654,38500,34900.0,1000000.0
1999-08-18,2701,2701,2511,2510,22600,33000.0,1000000.0
1999-08-19,2434,2648,2434,2579,35800,33900.0,1000000.0
1999-08-20,2510,2624,2510,2594,12700,34100.0,1000000.0
1999-08-23,2625,2663,2587,2624,9700,34500.0,1000000.0
1999-08-24,2701,2906,2670,2708,87400,35600.0,1000000.0
1999-08-25,2663,2739,2663,2685,40200,35300.0,1000000.0
1999-08-26,2777,2777,2663,2739,37600,36000.0,1000000.0
1999-08-27,2762,2762,2625,2700,25500,35500.0,1000000.0
1999-08-30,2662,2662,2594,2662,8200,35000.0,1000000.0
1999-08-31,2594,2662,2594,2662,5600,35000.0,1000000.0
1999-09-01,2594,2609,2541,2586,63800,34000.0,1000000.0
1999-09-02,2510,2655,2510,2594,39000,34100.0,1000000.0
1999-09-03,2602,2625,2511,2609,73700,34300.0,1000000.0
1999-09-06,2510,2602,2510,2586,23700,34000.0,1000000.0
1999-09-07,2534,2800,2534,2739,54500,36000.0,1000000.0
1999-09-08,2739,2770,2602,2609,27500,34300.0,1000000.0
1999-09-09,2655,2655,2571,2601,12500,34200.0,1000000.0
1999-09-10,2655,2800,2564,2564,21000,33700.0,1000000.0
1999-09-13,2564,2587,2526,2549,46800,33500.0,1000000.0
1999-09-14,2557,2587,2549,2556,32500,33600.0,1000000.0
1999-09-15,2549,2587,2549,2556,42400,33600.0,1000000.0
1999-09-16,2609,2609,2472,2472,38300,32500.0,1000000.0
1999-09-17,2472,2549,2472,2491,33300,32750.0,1000000.0
1999-09-20,2491,2587,2476,2491,21800,32750.0,1000000.0
1999-09-21,2518,2549,2434,2491,47500,32750.0,1000000.0
1999-09-22,2492,2492,2443,2488,37800,32700.0,1000000.0
1999-09-27,2487,2487,2446,2479,11900,32600.0,1000000.0
1999-09-28,2442,2541,2434,2506,6300,32950.0,1000000.0
1999-09-29,2503,2503,2396,2411,25300,31700.0,1000000.0
1999-09-30,2411,2411,2411,2411,1000,31700.0,1000000.0
1999-10-01,2328,2328,2153,2320,14600,30500.0,1000000.0
1999-10-04,2176,2392,2176,2289,2400,30100.0,1000000.0
1999-10-05,2282,2358,2214,2282,24200,30000.0,1000000.0
1999-10-06,2244,2336,2206,2335,15300,30700.0,1000000.0
1999-10-07,2244,2275,2221,2274,21600,29900.0,1000000.0
1999-10-08,2275,2320,2275,2282,15600,30000.0,1000000.0
1999-10-11,2244,2275,2229,2267,12700,29800.0,1000000.0
1999-10-12,2214,2282,2191,2282,38000,30000.0,1000000.0
1999-10-13,2297,2316,2244,2282,11700,30000.0,1000000.0
1999-10-14,2282,2282,2248,2274,21100,29900.0,1000000.0
1999-10-15,2275,2282,2252,2282,17400,30000.0,1000000.0
1999-10-18,2206,2244,2130,2206,32800,29000.0,1000000.0
1999-10-19,2207,2207,2100,2183,34100,28700.0,1000000.0
1999-10-20,2168,2237,2138,2221,53000,29200.0,1000000.0
1999-10-21,2229,2229,2184,2183,32500,28700.0,1000000.0
1999-10-22,2206,2351,2168,2335,155500,30700.0,1000000.0
1999-10-25,2335,2389,2259,2282,57100,30000.0,1000000.0
1999-10-26,2283,2283,2207,2210,14700,29050.0,1000000.0
1999-10-27,2172,2275,2172,2244,6500,29500.0,1000000.0
1999-10-28,2206,2237,2172,2206,17900,29000.0,1000000.0
1999-10-29,2283,2283,2184,2259,17800,29700.0,1000000.0
1999-11-01,2214,2283,2176,2278,29700,29950.0,1000000.0
1999-11-02,2275,2275,2214,2221,56500,29200.0,1000000.0
1999-11-03,2244,2244,2214,2221,28100,29200.0,1000000.0
1999-11-04,2267,2301,2237,2282,36200,30000.0,1000000.0
1999-11-05,2282,2358,2282,2297,53200,30200.0,1000000.0
1999-11-08,2306,2374,2306,2366,124200,31100.0,1000000.0
1999-11-09,2324,2419,2324,2411,33200,31700.0,1000000.0
1999-11-10,2411,2503,2411,2411,86900,31700.0,1000000.0
1999-11-11,2411,2449,2411,2411,37100,31700.0,1000000.0
1999-11-12,2358,2396,2290,2289,34700,30100.0,1000000.0
1999-11-15,2298,2298,2191,2274,25200,29900.0,1000000.0
1999-11-16,2282,2282,2206,2206,37600,29000.0,1000000.0
1999-11-17,2138,2168,2107,2167,46800,28500.0,1000000.0
1999-11-18,2206,2206,2092,2103,20400,27650.0,1000000.0
1999-11-19,2054,2168,2054,2130,9500,28000.0,1000000.0
1999-11-22,2062,2153,2062,2130,17000,28000.0,1000000.0
1999-11-23,2130,2130,2092,2092,14700,27500.0,1000000.0
1999-11-24,2054,2111,2016,2092,6400,27500.0,1000000.0
1999-11-25,2055,2055,1948,2054,9900,27000.0,1000000.0
1999-11-26,2054,2069,1940,1977,18500,26000.0,1000000.0
1999-11-29,1940,1940,1773,1940,20700,25500.0,1000000.0
1999-11-30,1940,1978,1879,1947,14100,25600.0,1000000.0
1999-12-01,1902,1910,1872,1901,16300,25000.0,1000000.0
1999-12-02,1894,1951,1868,1901,76600,25000.0,1000000.0
1999-12-03,1902,1932,1856,1875,20400,24650.0,1000000.0
1999-12-06,1902,1902,1788,1795,35600,23600.0,1000000.0
1999-12-07,1750,1753,1674,1673,15600,22000.0,1000000.0
1999-12-08,1537,1674,1537,1673,29400,22000.0,1000000.0
1999-12-09,1708,1895,1636,1689,62200,22200.0,1000000.0
1999-12-10,1758,1857,1758,1811,56800,23800.0,1000000.0
1999-12-13,1765,1887,1765,1841,44800,24200.0,1000000.0
1999-12-14,1750,1864,1750,1826,55900,24000.0,1000000.0
1999-12-15,1796,1849,1788,1826,35600,24000.0,1000000.0
1999-12-16,1887,1887,1750,1826,32900,24000.0,1000000.0
1999-12-17,1826,1826,1765,1802,27600,23700.0,1000000.0
1999-12-20,1765,1795,1674,1795,26700,23600.0,1000000.0
1999-12-21,1696,1780,1674,1673,18100,22000.0,1000000.0
1999-12-22,1757,1757,1522,1631,23500,21450.0,1000000.0
1999-12-23,1636,1670,1526,1643,44800,21600.0,1000000.0
1999-12-24,1635,1635,1536,1620,30700,21300.0,1000000.0
1999-12-27,1544,1674,1544,1673,22600,22000.0,1000000.0
1999-12-28,1598,1879,1590,1879,97600,24700.0,1000000.0
2000-01-04,1700,1978,1689,1970,36700,25900.0,1000000.0
2000-01-05,1822,1864,1822,1841,5300,24200.0,1000000.0
2000-01-06,1826,1826,1719,1719,15100,22600.0,1000000.0
2000-01-07,1819,1845,1758,1818,18300,23900.0,1000000.0
2000-01-10,1712,1819,1548,1609,17600,21150.0,1000000.0
2000-01-11,1819,1819,1674,1784,34000,23450.0,1000000.0
2000-01-12,1681,1730,1643,1681,7400,22100.0,1000000.0
2000-01-13,1681,1727,1601,1726,1800,22700.0,1000000.0
2000-01-14,1727,1734,1715,1715,8800,22550.0,1000000.0
2000-01-17,1727,1757,1727,1734,9300,22800.0,1000000.0
2000-01-18,1674,1704,1674,1704,1100,22400.0,1000000.0
2000-01-19,1621,1697,1621,1696,2600,22300.0,1000000.0
2000-01-20,1506,1651,1506,1650,6100,21700.0,1000000.0
2000-01-21,1670,1670,1522,1658,2200,21800.0,1000000.0
2000-01-24,1689,1689,1533,1658,28700,21800.0,1000000.0
2000-01-25,1545,1667,1541,1567,3300,20600.0,1000000.0
2000-01-26,1651,1651,1522,1567,9900,20600.0,1000000.0
2000-01-27,1583,1697,1522,1635,31100,21500.0,1000000.0
2000-01-28,1598,1682,1598,1635,11200,21500.0,1000000.0
2000-01-31,1598,1644,1537,1575,10000,20700.0,1000000.0
2000-02-01,1575,1659,1575,1575,22700,20700.0,1000000.0
2000-02-02,1620,1712,1597,1673,178000,22000.0,1000000.0
2000-02-03,1670,1826,1670,1765,115200,23200.0,1000000.0
2000-02-07,1762,2028,1762,2027,431600,26650.0,1000000.0
2000-02-08,2168,2168,1879,1901,253800,25000.0,1000000.0
2000-02-09,1895,1948,1750,1750,93000,23000.0,1000000.0
2000-02-10,1682,1826,1678,1689,79700,22200.0,1000000.0
2000-02-11,1689,1689,1621,1685,61400,22150.0,1000000.0
2000-02-14,1605,1742,1605,1741,44900,22900.0,1000000.0
2000-02-15,1681,1742,1659,1677,54500,22050.0,1000000.0
2000-02-16,1719,1719,1541,1650,34100,21700.0,1000000.0
2000-02-17,1544,1666,1544,1578,30600,20750.0,1000000.0
2000-02-18,1563,1632,1552,1551,37000,20400.0,1000000.0
2000-02-21,1598,1598,1514,1514,43500,19900.0,1000000.0
2000-02-22,1483,1594,1461,1544,36500,20300.0,1000000.0
2000-02-23,1666,1773,1636,1726,102300,22700.0,1000000.0
2000-02-24,1716,1716,1636,1643,48500,21600.0,1000000.0
2000-02-25,1734,1734,1491,1726,169700,22700.0,1000000.0
2000-02-28,1788,1970,1735,1970,227200,25900.0,1000000.0
2000-02-29,1978,1978,1849,1886,97200,24800.0,1000000.0
2000-03-02,1887,2046,1887,1970,142600,25900.0,1000000.0
2000-03-03,1932,1978,1879,1901,88400,25000.0,1000000.0
2000-03-06,1947,1978,1864,1977,110900,26000.0,1000000.0
2000-03-07,1994,1994,1864,1879,55500,24700.0,1000000.0
2000-03-08,1829,1894,1826,1856,52400,24400.0,1000000.0
2000-03-09,1826,1887,1826,1879,42400,24700.0,1000000.0
2000-03-10,1834,1925,1834,1894,42900,24900.0,1000000.0
2000-03-13,1910,2176,1910,2152,283100,28300.0,1000000.0
2000-03-14,2191,2206,1902,2016,166700,26500.0,1000000.0
2000-03-15,2070,2070,1929,1947,65600,25600.0,1000000.0
2000-03-16,2001,2236,2001,2236,274200,29400.0,1000000.0
2000-03-17,2237,2571,2206,2343,486900,30800.0,1000000.0
2000-03-20,2286,2495,2138,2206,118100,29000.0,1000000.0
2000-03-21,2206,2275,2092,2092,91700,27500.0,1000000.0
2000-03-22,1986,2206,1986,2145,90300,28200.0,1000000.0
2000-03-23,2244,2260,2119,2118,72200,27850.0,1000000.0
2000-03-24,2145,2191,2077,2099,44100,27600.0,1000000.0
2000-03-27,2138,2207,2092,2130,216600,28000.0,1000000.0
2000-03-28,2055,2161,2055,2054,100700,27000.0,1000000.0
2000-03-29,2028,2123,2017,2054,85400,27000.0,1000000.0
2000-03-30,2055,2055,1994,2054,54100,27000.0,1000000.0
2000-03-31,2024,2077,2017,2054,47300,27000.0,1000000.0
2000-04-03,2069,2153,1940,1977,63900,26000.0,1000000.0
2000-04-04,1978,1978,1761,1787,66500,23500.0,1000000.0
2000-04-06,1788,1788,1788,1787,0,23500.0,1000000.0
2000-04-07,1788,1788,1788,1787,0,,
2000-04-10,1685,2016,1685,1947,81190,25600.0,10000000.0
2000-04-11,1978,1978,1723,1753,52090,23050.0,10000000.0
2000-04-12,1834,1834,1674,1818,37850,23900.0,10000000.0
2000-04-14,1674,1750,1674,1734,23920,22800.0,10000000.0
2000-04-17,1476,1560,1476,1475,90840,19400.0,10000000.0
2000-04-18,1598,1636,1499,1567,64970,20600.0,10000000.0
2000-04-19,1598,1727,1544,1590,54410,20900.0,10000000.0
2000-04-20,1628,1712,1609,1704,22590,22400.0,10000000.0
2000-04-21,1681,1746,1643,1673,54860,22000.0,10000000.0
2000-04-24,1750,1895,1689,1750,100320,23000.0,10000000.0
2000-04-25,1750,1788,1628,1734,42810,22800.0,10000000.0
2000-04-26,1727,1773,1579,1582,27770,20800.0,10000000.0
2000-04-27,1666,1670,1560,1582,17470,20800.0,10000000.0
2000-04-28,1658,1784,1620,1620,7020,21300.0,10000000.0
2000-05-02,1720,1720,1632,1696,13410,22300.0,10000000.0
2000-05-03,1701,1701,1636,1635,5990,21500.0,10000000.0
2000-05-04,1644,1644,1560,1635,68820,21500.0,10000000.0
2000-05-08,1651,1651,1560,1635,83700,21500.0,10000000.0
2000-05-09,1605,1712,1583,1711,38690,22500.0,10000000.0
2000-05-10,1788,1788,1644,1750,50820,23000.0,10000000.0
2000-05-12,1674,1780,1674,1780,49270,23400.0,10000000.0
2000-05-15,1750,1887,1674,1750,57630,23000.0,10000000.0
2000-05-16,1834,1963,1773,1826,336590,24000.0,10000000.0
2000-05-17,1757,1757,1563,1563,138210,20550.0,10000000.0
2000-05-18,1552,1567,1384,1437,32460,18900.0,10000000.0
2000-05-19,1369,1430,1236,1293,34340,17000.0,10000000.0
2000-05-22,1301,1301,1153,1209,36290,15900.0,10000000.0
2000-05-23,1153,1331,1153,1285,56590,16900.0,10000000.0
2000-05-24,1217,1324,1145,1293,37240,17000.0,10000000.0
2000-05-25,1164,1484,1164,1445,87830,19000.0,10000000.0
2000-05-26,1408,1408,1316,1331,55010,17500.0,10000000.0
2000-05-29,1346,1529,1301,1376,89830,18100.0,10000000.0
2000-05-30,1392,1484,1377,1400,30340,18400.0,10000000.0
2000-05-31,1385,1560,1385,1453,152460,19100.0,10000000.0
2000-06-01,1446,1522,1392,1514,80300,19900.0,10000000.0
2000-06-02,1522,1522,1423,1445,35240,19000.0,10000000.0
2000-06-05,1453,1559,1369,1559,125920,20500.0,10000000.0
2000-06-07,1545,1621,1507,1514,77360,19900.0,10000000.0
2000-06-08,1598,1613,1483,1536,81640,20200.0,10000000.0
2000-06-09,1445,1552,1445,1490,46470,19600.0,10000000.0
2000-06-12,1522,1666,1491,1597,83520,21000.0,10000000.0
2000-06-13,1598,1704,1514,1521,89580,20000.0,10000000.0
2000-06-14,1560,1560,1491,1521,15780,20000.0,10000000.0
2000-06-15,1526,1526,1446,1445,18880,19000.0,10000000.0
2000-06-16,1476,1476,1438,1460,5320,19200.0,10000000.0
2000-06-19,1370,1518,1370,1445,8370,19000.0,10000000.0
2000-06-20,1636,1636,1453,1453,20290,19100.0,10000000.0
2000-06-21,1598,1598,1385,1521,42030,20000.0,10000000.0
2000-06-22,1522,1560,1491,1529,19320,20100.0,10000000.0
2000-06-23,1537,1537,1491,1490,18430,19600.0,10000000.0
2000-06-26,1544,1712,1514,1711,280960,22500.0,10000000.0
2000-06-27,1796,1967,1788,1940,559800,25500.0,10000000.0
2000-06-28,1894,2001,1791,1863,252040,24500.0,10000000.0
2000-06-29,1944,1978,1788,1848,118360,24300.0,10000000.0
2000-06-30,1796,2123,1796,2054,522830,27000.0,10000000.0
2000-07-03,2017,2199,1978,2054,393040,27000.0,10000000.0
2000-07-04,2054,2092,1833,1841,210910,24200.0,10000000.0
2000-07-05,1834,2054,1693,2001,256920,26300.0,10000000.0
2000-07-06,1978,1978,1826,1871,67820,24600.0,10000000.0
2000-07-07,1879,2009,1864,1894,127240,24900.0,10000000.0
2000-07-10,1910,1940,1826,1826,101860,24000.0,10000000.0
2000-07-11,1849,1891,1826,1826,79920,24000.0,10000000.0
2000-07-12,1826,1909,1788,1909,66530,25100.0,10000000.0
2000-07-13,1902,1932,1826,1863,78050,24500.0,10000000.0
2000-07-14,1845,1857,1758,1757,63290,23100.0,10000000.0
2000-07-18,1750,1765,1643,1673,37100,22000.0,10000000.0
2000-07-19,1613,1663,1575,1643,40300,21600.0,10000000.0
2000-07-20,1597,1658,1597,1620,22570,21300.0,10000000.0
2000-07-21,1635,1772,1586,1681,35950,22100.0,10000000.0
2000-07-24,1666,1666,1567,1597,15920,21000.0,10000000.0
2000-07-25,1525,1658,1525,1536,20530,20200.0,10000000.0
2000-07-26,1522,1606,1522,1567,17140,20600.0,10000000.0
2000-07-27,1560,1568,1522,1533,26670,20150.0,10000000.0
2000-07-28,1525,1575,1499,1536,25170,20200.0,10000000.0
2000-07-31,1453,1598,1453,1582,37600,20800.0,10000000.0
2000-08-01,1491,1605,1491,1582,21730,20800.0,10000000.0
2000-08-02,1601,1613,1548,1551,12840,20400.0,10000000.0
2000-08-03,1670,1670,1548,1551,19090,20400.0,10000000.0
2000-08-04,1598,1598,1533,1563,29760,20550.0,10000000.0
2000-08-07,1521,1544,1483,1498,18510,19700.0,10000000.0
2000-08-08,1503,1609,1503,1529,44300,20100.0,10000000.0
2000-08-09,1575,1651,1541,1650,55140,21700.0,10000000.0
2000-08-10,1673,1746,1651,1707,39610,22450.0,10000000.0
2000-08-11,1651,1723,1606,1696,63530,22300.0,10000000.0
2000-08-14,1750,1818,1708,1734,60460,22800.0,10000000.0
2000-08-16,1712,1773,1681,1711,43710,22500.0,10000000.0
2000-08-17,1826,1845,1685,1704,41500,22400.0,10000000.0
2000-08-18,1678,1750,1674,1704,61120,22400.0,10000000.0
2000-08-21,1678,1735,1678,1696,50550,22300.0,10000000.0
2000-08-22,1727,1727,1673,1715,8770,22550.0,10000000.0
2000-08-23,1677,1742,1662,1673,53190,22000.0,10000000.0
2000-08-24,1674,1674,1598,1628,7590,21400.0,10000000.0
2000-08-25,1621,1636,1598,1635,10460,21500.0,10000000.0
2000-08-28,1605,1750,1605,1719,54590,22600.0,10000000.0
2000-08-29,1750,1750,1636,1658,17070,21800.0,10000000.0
2000-08-30,1602,1647,1583,1628,47160,21400.0,10000000.0
2000-08-31,1635,1635,1582,1612,32610,21200.0,10000000.0
2000-09-01,1636,1655,1613,1631,11660,21450.0,10000000.0
2000-09-04,1647,1704,1639,1673,42080,22000.0,10000000.0
2000-09-05,1640,1731,1640,1650,16570,21700.0,10000000.0
2000-09-06,1605,1788,1605,1650,27720,21700.0,10000000.0
2000-09-07,1647,1742,1628,1741,25590,22900.0,10000000.0
2000-09-08,1700,1902,1673,1741,35080,22900.0,10000000.0
2000-09-14,1734,1955,1643,1916,34710,25200.0,10000000.0
2000-09-15,1834,1902,1689,1689,63630,22200.0,10000000.0
2000-09-18,1602,1636,1537,1555,27260,20450.0,10000000.0
2000-09-19,1559,1666,1529,1559,33460,20500.0,10000000.0
