GS리테일(007070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2012-11-06,33500,33650,31900,31950,347096,2460150.0,77000000.0
2012-11-07,32250,32700,31850,32150,158090,2475550.0,77000000.0
2012-11-08,31700,32150,30900,31400,280721,2417800.0,77000000.0
2012-11-09,31500,32500,31200,32300,460638,2487100.0,77000000.0
2012-11-12,32400,32400,31750,31900,114896,2456300.0,77000000.0
2012-11-13,32000,32300,31050,31050,120135,2390850.0,77000000.0
2012-11-14,30750,31250,28700,29400,684708,2263800.0,77000000.0
2012-11-15,29600,31400,29400,30400,467985,2340800.0,77000000.0
2012-11-16,30100,30500,28200,28800,455942,2217600.0,77000000.0
2012-11-19,28700,31000,28700,30450,238630,2344650.0,77000000.0
2012-11-20,30500,32000,30450,31600,247860,2433200.0,77000000.0
2012-11-21,31650,32350,31200,31450,170436,2421650.0,77000000.0
2012-11-22,31950,31950,31000,31750,271871,2444750.0,77000000.0
2012-11-23,31950,32350,31500,32100,136744,2471700.0,77000000.0
2012-11-26,32100,32150,31050,31750,138397,2444750.0,77000000.0
2012-11-27,30000,31050,28900,29350,1229991,2259950.0,77000000.0
2012-11-28,29600,29800,28550,29650,437816,2283050.0,77000000.0
2012-11-29,29800,29900,28250,29000,630634,2233000.0,77000000.0
2012-11-30,28850,29800,28700,29550,262100,2275350.0,77000000.0
2012-12-03,29550,30000,28900,30000,202806,2310000.0,77000000.0
2012-12-04,29700,30350,29650,30000,164211,2310000.0,77000000.0
2012-12-05,29900,30400,29750,29900,153118,2302300.0,77000000.0
2012-12-06,29900,29950,27900,27900,484199,2148300.0,77000000.0
2012-12-07,28150,28250,26400,27950,655807,2152150.0,77000000.0
2012-12-10,28100,28100,27200,27700,221986,2132900.0,77000000.0
2012-12-11,27800,28250,27050,27400,265684,2109800.0,77000000.0
2012-12-12,27100,28950,27100,28950,293248,2229150.0,77000000.0
2012-12-13,29100,30850,28600,30350,459612,2336950.0,77000000.0
2012-12-14,30500,31150,30300,31000,378610,2387000.0,77000000.0
2012-12-17,31000,31300,30150,30950,175645,2383150.0,77000000.0
2012-12-18,30800,30950,29600,30000,215488,2310000.0,77000000.0
2012-12-20,29600,31050,29600,30650,221971,2360050.0,77000000.0
2012-12-21,30850,30850,29300,29400,208665,2263800.0,77000000.0
2012-12-24,29100,29550,28400,29300,167531,2256100.0,77000000.0
2012-12-26,29050,30100,29050,29800,221806,2294600.0,77000000.0
2012-12-27,30000,30000,29000,29350,170228,2259950.0,77000000.0
2012-12-28,29250,30500,29250,29950,181366,2306150.0,77000000.0
2013-01-02,30000,30550,29650,29650,231810,2283050.0,77000000.0
2013-01-03,29700,29850,27750,27850,663253,2144450.0,77000000.0
2013-01-04,28050,28450,27800,28300,495755,2179100.0,77000000.0
2013-01-07,28150,28400,27500,27950,322399,2152150.0,77000000.0
2013-01-08,27500,28400,27500,28150,244744,2167550.0,77000000.0
2013-01-09,28100,29150,27900,29000,409214,2233000.0,77000000.0
2013-01-10,28900,28950,27800,27900,429323,2148300.0,77000000.0
2013-01-11,27850,28250,27500,27950,265210,2152150.0,77000000.0
2013-01-14,27950,28200,27700,28050,163041,2159850.0,77000000.0
2013-01-15,28250,28300,27700,27750,137771,2136750.0,77000000.0
2013-01-16,27650,28000,27450,28000,206173,2156000.0,77000000.0
2013-01-17,27800,27950,27500,27600,137029,2125200.0,77000000.0
2013-01-18,27600,28200,27550,27800,164715,2140600.0,77000000.0
2013-01-21,27800,28150,27550,28050,141401,2159850.0,77000000.0
2013-01-22,28100,28750,28000,28500,292221,2194500.0,77000000.0
2013-01-23,28450,28500,27650,27750,204619,2136750.0,77000000.0
2013-01-24,27900,28000,27650,27850,121915,2144450.0,77000000.0
2013-01-25,28100,28100,26850,27050,206427,2082850.0,77000000.0
2013-01-28,27100,27200,26550,26800,183843,2063600.0,77000000.0
2013-01-29,26950,27250,26800,27050,140482,2082850.0,77000000.0
2013-01-30,27200,27350,26850,27200,84683,2094400.0,77000000.0
2013-01-31,27200,27450,27200,27400,86647,2109800.0,77000000.0
2013-02-01,27200,28250,25900,28200,878632,2171400.0,77000000.0
2013-02-04,28350,28850,28050,28700,316246,2209900.0,77000000.0
2013-02-05,28500,28850,28200,28450,197969,2190650.0,77000000.0
2013-02-06,28150,28700,28150,28600,208919,2202200.0,77000000.0
2013-02-07,28850,29400,28350,29300,339299,2256100.0,77000000.0
2013-02-08,29000,30150,29000,29650,469165,2283050.0,77000000.0
2013-02-12,29750,30100,29350,29600,210568,2279200.0,77000000.0
2013-02-13,29600,29750,28750,29000,244648,2233000.0,77000000.0
2013-02-14,28750,28900,28400,28750,248934,2213750.0,77000000.0
2013-02-15,28650,29150,28200,29150,190982,2244550.0,77000000.0
2013-02-18,29000,29300,28800,29150,118914,2244550.0,77000000.0
2013-02-19,29000,29200,28600,29000,101674,2233000.0,77000000.0
2013-02-20,28850,29300,28700,29000,111776,2233000.0,77000000.0
2013-02-21,28750,29100,28700,28950,98908,2229150.0,77000000.0
2013-02-22,28750,29200,28100,28100,267086,2163700.0,77000000.0
2013-02-25,28100,28450,27800,28100,141167,2163700.0,77000000.0
2013-02-26,27900,28600,27850,28500,197807,2194500.0,77000000.0
2013-02-27,28850,29600,28650,29500,336378,2271500.0,77000000.0
2013-02-28,29800,29800,29150,29500,139516,2271500.0,77000000.0
2013-03-04,29500,29950,29050,29800,165611,2294600.0,77000000.0
2013-03-05,29950,30000,29600,30000,207304,2310000.0,77000000.0
2013-03-06,30150,30500,30050,30500,281478,2348500.0,77000000.0
2013-03-07,30550,30700,29550,29900,250207,2302300.0,77000000.0
2013-03-08,30000,31600,29350,30850,412344,2375450.0,77000000.0
2013-03-11,30600,32100,30300,32100,320638,2471700.0,77000000.0
2013-03-12,32000,32100,30950,31400,404641,2417800.0,77000000.0
2013-03-13,30800,31200,30650,31000,196027,2387000.0,77000000.0
2013-03-14,31200,31400,30700,30950,121321,2383150.0,77000000.0
2013-03-15,30750,31550,30300,31550,285957,2429350.0,77000000.0
2013-03-18,31450,31500,30200,30600,239238,2356200.0,77000000.0
2013-03-19,30800,30800,29450,29450,268041,2267650.0,77000000.0
2013-03-20,29500,29850,29150,29300,123685,2256100.0,77000000.0
2013-03-21,29750,29800,28900,28950,142361,2229150.0,77000000.0
2013-03-22,28800,28950,28300,28700,202752,2209900.0,77000000.0
2013-03-25,28800,29200,28650,28750,154887,2213750.0,77000000.0
2013-03-26,28650,29450,28500,29450,187282,2267650.0,77000000.0
2013-03-27,29450,29600,28850,29600,158371,2279200.0,77000000.0
2013-03-28,29300,29550,28950,29300,143256,2256100.0,77000000.0
2013-03-29,29350,29550,29100,29500,89014,2271500.0,77000000.0
2013-04-01,29250,29500,28950,29100,54020,2240700.0,77000000.0
2013-04-02,29100,29250,28750,29100,85314,2240700.0,77000000.0
2013-04-03,29100,29250,28850,29150,85536,2244550.0,77000000.0
2013-04-04,28900,29150,28300,28800,108234,2217600.0,77000000.0
2013-04-05,28800,29000,28000,28250,143101,2175250.0,77000000.0
2013-04-08,28250,28250,27150,27250,134197,2098250.0,77000000.0
2013-04-09,26900,27500,26100,26550,303150,2044350.0,77000000.0
2013-04-10,26700,27400,26300,27000,176478,2079000.0,77000000.0
2013-04-11,27300,27650,26800,27450,129490,2113650.0,77000000.0
2013-04-12,27500,28650,27450,27950,209043,2152150.0,77000000.0
2013-04-15,28200,28550,27700,28550,177841,2198350.0,77000000.0
2013-04-16,28100,28550,27900,28200,176019,2171400.0,77000000.0
2013-04-17,28400,28850,27500,28600,247533,2202200.0,77000000.0
2013-04-18,28300,29000,28300,28950,122558,2229150.0,77000000.0
2013-04-19,28600,29500,28600,29450,122275,2267650.0,77000000.0
2013-04-22,29450,29650,29050,29300,132826,2256100.0,77000000.0
2013-04-23,29250,29300,28600,29300,125100,2256100.0,77000000.0
2013-04-24,29300,29700,29050,29700,126335,2286900.0,77000000.0
2013-04-25,29800,29850,29150,29400,90864,2263800.0,77000000.0
2013-04-26,29600,29600,28800,28800,116219,2217600.0,77000000.0
2013-04-29,28650,29150,28550,28800,129438,2217600.0,77000000.0
2013-04-30,29000,29600,28850,29550,99399,2275350.0,77000000.0
2013-05-02,29600,30300,29550,30000,191000,2310000.0,77000000.0
2013-05-03,30300,30400,29850,30250,122587,2329250.0,77000000.0
2013-05-06,29750,30350,29750,30100,125393,2317700.0,77000000.0
2013-05-07,30250,30350,29750,30100,154758,2317700.0,77000000.0
2013-05-08,30050,30300,29600,30250,92037,2329250.0,77000000.0
2013-05-09,30300,30700,30000,30000,140766,2310000.0,77000000.0
2013-05-10,29900,30250,29600,30050,78015,2313850.0,77000000.0
2013-05-13,29900,30200,29400,30200,87180,2325400.0,77000000.0
2013-05-14,30300,30300,29450,30050,204024,2313850.0,77000000.0
2013-05-15,30050,30200,29650,29950,132157,2306150.0,77000000.0
2013-05-16,30000,30100,29250,29350,382254,2259950.0,77000000.0
2013-05-20,29200,29350,28550,29100,297406,2240700.0,77000000.0
2013-05-21,29200,29250,28350,28650,187945,2206050.0,77000000.0
2013-05-22,28850,28850,28500,28750,99878,2213750.0,77000000.0
2013-05-23,28750,29300,28450,28850,172249,2221450.0,77000000.0
2013-05-24,28700,28750,27950,28700,266780,2209900.0,77000000.0
2013-05-27,28350,28650,28000,28050,137839,2159850.0,77000000.0
2013-05-28,28000,28150,27950,28100,77944,2163700.0,77000000.0
2013-05-29,28300,28750,28100,28600,124379,2202200.0,77000000.0
2013-05-30,28300,29000,28300,28900,139063,2225300.0,77000000.0
2013-05-31,29100,29250,28350,29250,172818,2252250.0,77000000.0
2013-06-03,29050,29150,28400,28800,106558,2217600.0,77000000.0
2013-06-04,28750,28850,28000,28050,110393,2159850.0,77000000.0
2013-06-05,28100,28250,27050,27050,210421,2082850.0,77000000.0
2013-06-07,27300,27500,26700,27100,100060,2086700.0,77000000.0
2013-06-10,27950,28850,27950,28850,270767,2221450.0,77000000.0
2013-06-11,28650,29300,28350,29050,203395,2236850.0,77000000.0
2013-06-12,28800,30000,28800,29900,269467,2302300.0,77000000.0
2013-06-13,29700,31150,29400,30750,732518,2367750.0,77000000.0
2013-06-14,30800,30900,30550,30800,344865,2371600.0,77000000.0
2013-06-17,31000,31250,30750,31000,250095,2387000.0,77000000.0
2013-06-18,31100,31200,30600,31150,140859,2398550.0,77000000.0
2013-06-19,30800,31100,30400,30800,168147,2371600.0,77000000.0
2013-06-20,30800,30800,29600,29800,171904,2294600.0,77000000.0
2013-06-21,29500,29800,28800,29250,218928,2252250.0,77000000.0
2013-06-24,28950,29050,28300,28450,178691,2190650.0,77000000.0
2013-06-25,27950,29100,27700,28400,164390,2186800.0,77000000.0
2013-06-26,28800,29500,28500,28950,158337,2229150.0,77000000.0
2013-06-27,29300,29550,28650,29250,159497,2252250.0,77000000.0
2013-06-28,29150,29500,28850,29300,173937,2256100.0,77000000.0
2013-07-01,28850,29700,28850,29050,131013,2236850.0,77000000.0
2013-07-02,29300,29900,29050,29900,122026,2302300.0,77000000.0
2013-07-03,29650,29650,28950,29300,317288,2256100.0,77000000.0
2013-07-04,29300,29700,29000,29450,167014,2267650.0,77000000.0
2013-07-05,29750,30800,29700,30700,235708,2363900.0,77000000.0
2013-07-08,30450,30750,30250,30700,197799,2363900.0,77000000.0
2013-07-09,31000,31050,30650,31000,87363,2387000.0,77000000.0
2013-07-10,31000,31000,30050,30850,98125,2375450.0,77000000.0
2013-07-11,31000,31500,30700,31450,167797,2421650.0,77000000.0
2013-07-12,31450,31600,31050,31050,103167,2390850.0,77000000.0
2013-07-15,31050,31300,30600,30700,111280,2363900.0,77000000.0
2013-07-16,30650,31200,30600,31150,101967,2398550.0,77000000.0
2013-07-17,31100,32150,31100,31850,199800,2452450.0,77000000.0
2013-07-18,31600,32500,31400,32300,200882,2487100.0,77000000.0
2013-07-19,32200,32900,32000,32700,140825,2517900.0,77000000.0
2013-07-22,32700,33000,32200,33000,134700,2541000.0,77000000.0
2013-07-23,33050,33700,32850,33000,345298,2541000.0,77000000.0
2013-07-24,33000,33300,32200,33250,262053,2560250.0,77000000.0
2013-07-25,32700,33250,31950,33000,203723,2541000.0,77000000.0
2013-07-26,33000,33000,32600,32850,48961,2529450.0,77000000.0
2013-07-29,32550,34000,32500,33700,203367,2594900.0,77000000.0
2013-07-30,34150,34150,33300,33800,123316,2602600.0,77000000.0
2013-07-31,33800,34000,33400,33750,91068,2598750.0,77000000.0
2013-08-01,33450,33500,32450,32800,150185,2525600.0,77000000.0
2013-08-02,32600,33200,31900,32200,135810,2479400.0,77000000.0
2013-08-05,32450,32600,31800,32350,103421,2490950.0,77000000.0
2013-08-06,32500,33200,32000,33000,177744,2541000.0,77000000.0
2013-08-07,32650,33350,32650,32900,78606,2533300.0,77000000.0
2013-08-08,32700,32900,31900,32500,157630,2502500.0,77000000.0
2013-08-09,32250,33050,32150,33050,76582,2544850.0,77000000.0
2013-08-12,32750,32900,32300,32800,91962,2525600.0,77000000.0
2013-08-13,33050,33050,32150,33000,112420,2541000.0,77000000.0
2013-08-14,32650,32650,31400,31400,375929,2417800.0,77000000.0
