엘브이엠씨(900140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-02-15,4853,5013,4853,4955,323490,,
2011-02-16,4895,5005,4895,4930,242403,,
2011-02-17,4937,4996,4853,4989,313814,,
2011-02-18,4996,5039,4920,4972,212831,,
2011-02-21,4937,4954,4735,4846,290330,,
2011-02-22,4810,4810,4608,4719,342654,,
2011-02-23,4718,4718,4422,4458,296367,,
2011-02-24,4372,4498,4228,4230,457765,,
2011-02-25,4338,4506,4279,4508,189797,,
2011-02-28,4515,4515,4338,4339,183987,,
2011-03-02,4303,4465,4228,4466,232676,,
2011-03-03,4422,4549,4372,4491,372760,,
2011-03-04,4506,4574,4448,4449,248836,,
2011-03-07,4448,4608,4389,4592,220700,,
2011-03-08,4557,4971,4557,4854,571500,,
2011-03-09,4929,5097,4929,5056,607091,,
2011-03-10,5115,5132,4954,5108,251532,,
2011-03-11,5013,5190,4962,5149,298725,,
2011-03-14,5149,5149,4861,4989,354516,,
2011-03-15,4979,5063,4557,4778,443355,,
2011-03-16,4920,5359,4895,5318,750854,,
2011-03-17,5173,5359,5089,5191,512937,,
2011-03-18,5283,5392,5198,5242,452278,,
2011-03-21,5325,5427,5283,5327,365246,,
2011-03-22,5385,5418,5258,5318,278921,,
2011-03-23,5301,5325,5080,5285,457144,,
2011-03-24,5291,5485,5258,5385,545805,,
2011-03-25,5461,5520,5275,5276,737761,,
2011-03-28,5325,5325,5063,5200,484917,,
2011-03-29,5156,5266,5115,5225,293972,,
2011-03-30,5301,5351,5215,5301,556588,,
2011-03-31,5325,5621,5317,5571,1137629,,
2011-04-01,5613,5697,5410,5445,897730,,
2011-04-04,5478,5722,5392,5724,1176219,,
2011-04-05,5798,6110,5731,6070,1843333,,
2011-04-06,6237,6380,5942,6044,2588609,,
2011-04-07,6094,6136,5942,6070,683924,,
2011-04-08,6077,6204,5992,6112,679020,,
2011-04-11,6153,6153,5874,5926,730788,,
2011-04-12,5866,6034,5765,6027,637612,,
2011-04-13,6077,6423,6051,6416,1235069,,
2011-04-14,6431,6617,6288,6550,685117,,
2011-04-15,6524,6617,6423,6567,435524,,
2011-04-18,6617,6626,6457,6550,432441,,
2011-04-19,6457,6499,6280,6356,474360,,
2011-04-20,6457,6482,6043,6154,777637,,
2011-04-21,6110,6228,5891,5952,879650,,
2011-04-22,5950,6161,5663,6112,949485,,
2011-04-25,6085,6212,5975,6011,364362,,
2011-04-26,6043,6085,5748,5867,613707,,
2011-04-27,6001,6043,5807,5918,416931,,
2011-04-28,5916,6068,5739,5783,370401,,
2011-04-29,5756,6085,5756,6087,369986,,
2011-05-02,6144,6321,6026,6162,435277,,
2011-05-03,6161,6204,5908,5952,216451,,
2011-05-04,5959,6001,5815,5943,207281,,
2011-05-06,5908,5916,5824,5833,130299,,
2011-05-09,5933,5959,5832,5867,167673,,
2011-05-11,5950,5992,5866,5909,123113,,
2011-05-12,5849,5891,5748,5766,161686,,
2011-05-13,5824,5824,5063,5773,255542,,
2011-05-16,5866,5866,5654,5681,68780,,
2011-05-17,5587,5857,5587,5758,133228,,
2011-05-18,5780,6077,5697,6053,270462,,
2011-05-19,6119,6254,6051,6154,603286,,
2011-05-20,6178,6237,6018,6078,188639,,
2011-05-23,6068,6153,5950,6002,167169,,
2011-05-24,5933,6085,5933,6002,92113,,
2011-05-25,6051,6068,5942,5977,141984,,
2011-05-26,6018,6187,5967,6019,206531,,
2011-05-27,6051,6204,5950,6171,221460,,
2011-05-30,6245,6245,6102,6129,156913,,
2011-05-31,6119,6321,5959,6324,422665,,
2011-06-01,6338,6390,6271,6297,247738,,
2011-06-02,6136,6372,6077,6307,203864,,
2011-06-03,6355,6355,6237,6264,179583,,
2011-06-07,6187,6245,6068,6070,153940,,
2011-06-08,6077,6144,6026,6078,110295,,
2011-06-09,6051,6136,6026,6053,139771,,
2011-06-10,6161,6245,5866,5867,266192,,
2011-06-13,5815,5824,5468,5715,422521,,
2011-06-14,5663,5908,5578,5909,173283,,
2011-06-15,5908,5992,5815,5817,149750,,
2011-06-16,5790,5908,5714,5842,71544,,
2011-06-17,5840,5866,5638,5758,118399,,
2011-06-20,5857,5975,5798,5909,228028,,
2011-06-21,5942,5942,5706,5850,147184,,
2011-06-22,5857,5933,5832,5876,84940,,
2011-06-23,5975,5975,5832,5833,149540,,
2011-06-24,5840,5857,5731,5773,200419,,
2011-06-27,5773,5773,5654,5707,127780,,
2011-06-28,5765,5765,5630,5631,161637,,
2011-06-29,5722,5756,5604,5749,116211,,
2011-06-30,5748,5798,5654,5783,75841,,
2011-07-01,5780,6034,5780,6036,225457,,
2011-07-04,6102,6372,6068,6373,554743,,
2011-07-05,6363,6363,6237,6297,305066,,
2011-07-06,6254,6331,6212,6264,181902,,
2011-07-07,6297,6297,6085,6087,271026,,
2011-07-08,6085,6262,6085,6137,216796,,
2011-07-11,6136,6204,6018,6129,108815,,
2011-07-12,6077,6110,5959,5994,196169,,
2011-07-13,6001,6254,6001,6247,232189,,
2011-07-14,6204,6221,6119,6221,170845,,
2011-07-15,6178,6372,6161,6341,262134,,
2011-07-18,6355,6414,6237,6407,473273,,
2011-07-19,6643,6904,6584,6636,925779,,
2011-07-20,6633,6709,6507,6660,347006,,
2011-07-21,6677,6760,6557,6736,370443,,
2011-07-22,6702,6945,6702,6889,600986,,
2011-07-25,6921,6945,6811,6855,242830,,
2011-07-26,6836,6921,6803,6906,218751,,
2011-07-27,6921,6997,6667,6804,305917,,
2011-07-28,6743,6760,6567,6577,290407,,
2011-07-29,6600,6795,6557,6753,214580,,
2011-08-01,6811,7225,6811,7176,485590,,
2011-08-02,7174,7174,6871,7117,402174,,
2011-08-03,6930,7048,6752,6990,357297,,
2011-08-04,7065,7166,6795,6804,248979,,
2011-08-05,6077,6643,6077,6483,359571,,
2011-08-08,6288,6567,5511,5909,568660,,
2011-08-09,5485,5832,5072,5741,474465,,
2011-08-10,6077,6110,5798,5833,376114,,
2011-08-11,5317,6161,5317,6002,324843,,
2011-08-12,6161,6245,5950,5952,256085,,
2011-08-16,6094,6212,6094,6188,166350,,
2011-08-17,6204,6228,6085,6197,129933,,
2011-08-18,6221,6254,6009,6162,148491,,
2011-08-19,5883,5984,5722,5741,219626,,
2011-08-22,5942,5967,5714,5741,205456,,
2011-08-23,5857,5908,5748,5833,107701,,
2011-08-24,5891,5984,5815,5859,122551,,
2011-08-25,5916,5967,5739,5758,80270,,
2011-08-26,5739,5849,5714,5850,63810,,
2011-08-29,5933,6009,5883,5994,126326,,
2011-08-30,6034,6043,5908,5994,116656,,
2011-08-31,5992,6297,5950,6255,206140,,
2011-09-01,6262,6321,6119,6154,151515,,
2011-09-02,6136,6153,5967,5994,96140,,
2011-09-05,5908,5908,5654,5656,163368,,
2011-09-06,5495,5646,5427,5614,178699,,
2011-09-07,5756,5807,5688,5783,97817,,
2011-09-08,5790,5992,5739,5977,107271,,
2011-09-09,5866,6085,5840,6036,110442,,
2011-09-14,6009,6119,5950,6036,144616,,
2011-09-15,6127,6212,5916,6154,179182,,
2011-09-16,6153,6288,6127,6290,135722,,
2011-09-19,6245,6363,6204,6341,82901,,
2011-09-20,6262,6338,6187,6331,76534,,
2011-09-21,6414,6584,6355,6517,211811,,
2011-09-22,6380,6482,6331,6390,87981,,
2011-09-23,6068,6321,6068,6205,177198,,
2011-09-26,6338,6499,6077,6331,264458,,
2011-09-27,6431,6567,6355,6567,252052,,
2011-09-28,6567,6693,6516,6610,227133,,
2011-09-29,6592,6667,6499,6610,183926,,
2011-09-30,6633,7098,6600,7015,470552,,
2011-10-04,6769,7115,6584,7117,271187,,
2011-10-05,7242,7242,6760,6923,182551,,
2011-10-06,6945,7048,6795,6990,191405,,
2011-10-07,6980,6980,6736,6829,213633,,
2011-10-10,6913,7090,6871,6965,158292,,
2011-10-11,7031,7031,6820,6863,160530,,
2011-10-12,6778,7065,6702,7058,210923,,
2011-10-13,7124,7132,6989,6990,117375,,
2011-10-14,7014,7427,7005,7091,371568,,
2011-10-17,7140,7174,6921,7167,198580,,
2011-10-18,7014,7216,6955,7117,145385,,
2011-10-19,7090,7149,6921,7049,111236,,
2011-10-20,6962,7216,6820,6821,110568,,
2011-10-21,6853,7199,6795,6938,340814,,
2011-10-24,6945,6980,6431,6880,628586,,
2011-10-25,6904,7005,6836,6889,117286,,
2011-10-26,6752,7107,6677,6931,274185,,
2011-10-27,7005,7572,6972,7572,942772,,
2011-10-28,7605,7613,7242,7243,373250,,
2011-10-31,7318,7360,7107,7218,149976,,
2011-11-01,7149,7427,7132,7420,317380,,
2011-11-02,7174,7309,7090,7311,145539,,
2011-11-03,7309,7309,7031,7108,200508,,
2011-11-04,7157,7284,7107,7260,148737,,
2011-11-07,7250,7343,7140,7260,107922,,
2011-11-08,7267,7292,7132,7133,97841,,
2011-11-09,7157,7284,7039,7235,110624,,
2011-11-10,7149,7149,6921,6923,146183,,
2011-11-11,6962,7031,6836,6965,159699,,
2011-11-14,6945,7090,6871,7091,152331,,
2011-11-15,7005,7081,6904,6906,101185,,
2011-11-16,6921,6980,6617,6973,170481,,
2011-11-17,6972,7039,6862,7041,74485,,
2011-11-18,6879,7005,6879,7007,41930,,
2011-11-21,6962,7031,6845,6923,55552,,
2011-11-22,6820,6997,6820,6982,43676,,
2011-11-23,7048,7048,6743,6813,76847,,
2011-11-24,6752,6913,6736,6897,59693,,
2011-11-25,6862,6980,6786,6965,108168,,
2011-11-28,7022,7022,6930,7007,60291,,
2011-11-29,7014,7065,6904,7066,86582,,
2011-11-30,7065,7065,6904,7058,106831,,
2011-12-01,7124,7124,6972,7066,146896,,
2011-12-02,7005,7005,6921,6923,61172,,
2011-12-05,6921,6921,6752,6855,126402,,
2011-12-06,6845,6845,6693,6762,118115,,
2011-12-07,6803,6887,6769,6846,56283,,
2011-12-08,6845,6904,6845,6889,27538,,
2011-12-09,6769,6853,6743,6855,71700,,
2011-12-12,6853,6913,6778,6914,53240,,
2011-12-13,6887,6887,6702,6829,72570,,
2011-12-14,6871,6871,6752,6813,46001,,
2011-12-15,6795,6836,6719,6838,47360,,
2011-12-16,6836,7292,6778,7184,149881,,
2011-12-19,7115,7166,6414,6923,172690,,
2011-12-20,6778,6962,6778,6906,40866,,
2011-12-21,6980,7107,6955,7091,112348,,
2011-12-22,7140,7334,7022,7074,122310,,
2011-12-23,7081,7132,6962,7049,47671,,
2011-12-26,7090,7098,6962,7074,39391,,
2011-12-27,7065,7174,6989,7133,106921,,
2011-12-28,7048,7149,7039,7125,41815,,
2011-12-29,7098,7259,7005,7176,132178,,
2012-01-02,7166,7166,7081,7133,47260,,
2012-01-03,7056,7132,7039,7091,58501,,
2012-01-04,7090,7107,6997,7100,70220,,
2012-01-05,7056,7132,7005,7007,72263,,
2012-01-06,7048,7048,6778,6779,116124,,
2012-01-09,6836,6879,6736,6821,57525,,
2012-01-10,6811,6896,6811,6872,40389,,
2012-01-11,6871,6896,6786,6846,43204,,
2012-01-12,6871,6913,6760,6906,35771,,
2012-01-13,6896,7031,6828,7032,51825,,
2012-01-16,6930,7090,6930,7058,58480,,
2012-01-17,7073,7301,6997,7218,210522,,
2012-01-18,7216,7250,7132,7176,78420,,
2012-01-19,7259,7267,7124,7260,93340,,
2012-01-20,7326,7326,7191,7260,74360,,
2012-01-25,7225,7267,7090,7192,62730,,
2012-01-26,7191,7199,7124,7201,38473,,
2012-01-27,7199,7284,7199,7235,54920,,
2012-01-30,7242,7469,7216,7462,143520,,
2012-01-31,7479,7503,7343,7462,81123,,
2012-02-01,7436,7850,7436,7851,340416,,
2012-02-02,7908,7993,7749,7994,3741157,,
2012-02-03,8525,9158,7891,8020,1434656,,
2012-02-06,8390,8415,8018,8147,283617,,
2012-02-07,8170,8170,7689,7927,324570,,
2012-02-08,7925,7942,7749,7860,162731,,
2012-02-09,7815,8018,7774,7927,125841,,
2012-02-10,7832,7976,7782,7978,115992,,
2012-02-13,7976,8001,7825,7978,88160,,
2012-02-14,7976,8010,7875,7978,90198,,
2012-02-15,7917,8263,7917,8137,189969,,
2012-02-16,8086,8127,7934,7986,101815,,
2012-02-17,7985,8010,7884,7953,91108,,
2012-02-20,7901,7968,7815,7969,100126,,
2012-02-21,7968,8001,7858,7961,65179,,
2012-02-22,7985,8044,7850,8044,86180,,
2012-02-23,8018,8651,8018,8315,598561,,
2012-02-24,8381,8483,8187,8442,189851,,
2012-02-27,8415,8568,8365,8400,98845,,
2012-02-28,8398,8525,8297,8324,79356,,
2012-02-29,8398,8483,8154,8484,148337,,
2012-03-02,8483,8778,8398,8780,169799,,
2012-03-05,8863,8863,8568,8780,77221,,
2012-03-06,8778,8778,8432,8611,143886,,
2012-03-07,8441,8737,8424,8737,100222,,
2012-03-08,8737,8904,8525,8864,91948,,
2012-03-09,8990,9200,8778,8864,142014,,
2012-03-12,8778,8863,8525,8611,122274,,
2012-03-13,8609,8778,8483,8654,75113,,
2012-03-14,8737,8778,8568,8611,98298,,
2012-03-15,8525,8904,8483,8907,97605,,
2012-03-16,8904,8990,8820,8990,102585,,
2012-03-19,8990,9243,8947,9033,142904,,
2012-03-20,9116,9200,8947,9033,137810,,
2012-03-21,9032,9200,8778,9160,190838,,
2012-03-22,9032,9243,8820,9075,181639,,
2012-03-23,8863,9073,8863,9075,35265,,
2012-03-26,9158,9158,8904,9033,89368,,
2012-03-27,9116,9116,8863,9075,90072,,
2012-03-28,9073,9411,8947,9202,161372,,
2012-03-29,9243,9285,8990,9160,123860,,
2012-03-30,9073,9200,8990,9117,46214,,
2012-04-02,9032,9200,8904,9160,113725,,
2012-04-03,9200,9496,9073,9455,235477,,
2012-04-04,9496,9538,9285,9455,116716,,
2012-04-05,9369,9496,9285,9455,142610,,
2012-04-06,9496,9496,9327,9455,86159,,
2012-04-09,9411,9454,9243,9328,93597,,
2012-04-10,9327,9369,9243,9371,57798,,
2012-04-12,9327,9411,9200,9285,108830,,
2012-04-13,9158,9285,8904,9160,181185,,
2012-04-16,8990,9158,8904,9160,83661,,
2012-04-17,9200,9200,8904,8990,71383,,
2012-04-18,9032,9243,9032,9244,89363,,
2012-04-19,9369,9454,9285,9328,103848,,
2012-04-20,9327,9664,9285,9666,192273,,
2012-04-23,9918,10086,9664,9877,278025,,
2012-04-24,9791,10467,9707,10299,641949,,
2012-04-25,10298,10551,10214,10299,190569,,
2012-04-26,10298,10635,10298,10637,189113,,
2012-04-27,10635,10846,10467,10637,200137,,
2012-04-30,10762,10846,10425,10637,191793,,
2012-05-02,10762,10762,10467,10637,135590,,
2012-05-03,10509,10509,10045,10172,327372,,
2012-05-04,10128,10467,10128,10384,92826,,
2012-05-07,10298,10467,10172,10426,53633,,
2012-05-08,10425,10762,10425,10721,133896,,
2012-05-09,10635,10846,10467,10553,168608,,
2012-05-10,10425,10467,10128,10299,155522,,
2012-05-11,10214,10425,10086,10426,87523,,
2012-05-14,10467,10467,10172,10257,79481,,
2012-05-15,10172,10214,9875,10131,131072,,
2012-05-16,10045,10086,9833,9836,66764,,
2012-05-17,9623,9960,9538,9708,145466,,
2012-05-18,9454,9580,8863,8864,251130,,
2012-05-21,9158,9918,8947,9624,173760,,
2012-05-22,9918,10002,9750,10003,93164,,
2012-05-23,10045,10128,9750,10003,78161,,
2012-05-24,10002,10128,9833,10089,93417,,
2012-05-25,10086,10381,10002,10384,95382,,
2012-05-29,10298,10509,10214,10384,98104,,
2012-05-30,10425,10425,10172,10426,54043,,
2012-05-31,10214,10551,10128,10510,63254,,
2012-06-01,10509,10720,10381,10679,87911,,
2012-06-04,10298,10551,10128,10426,118728,,
2012-06-05,10425,10635,10425,10594,73604,,
2012-06-07,10678,11057,10678,10848,126299,,
2012-06-08,11057,11057,10340,10890,89916,,
2012-06-11,10889,11015,10805,10890,51431,,
2012-06-12,10889,10931,10720,10932,32442,,
2012-06-13,10973,11015,10805,10932,51315,,
2012-06-14,10805,10931,10805,10890,37886,,
2012-06-15,10931,10931,10762,10890,40815,,
2012-06-18,10973,11480,10973,11227,177171,,
2012-06-19,11142,11227,11015,11185,96800,,
2012-06-20,11268,11353,11184,11354,74746,,
2012-06-21,11396,11396,11227,11396,69877,,
2012-06-22,11142,11563,11142,11566,85818,,
2012-06-25,11563,11606,11480,11566,77623,,
2012-06-26,11480,11606,11396,11523,82720,,
2012-06-27,11606,11606,11437,11608,64625,,
2012-06-28,11606,11649,11353,11523,141059,,
2012-06-29,11353,11733,11353,11734,58842,,
2012-07-02,11733,12239,11649,12199,115244,,
2012-07-03,12197,12492,12070,12409,94250,,
2012-07-04,12409,12619,12070,12368,155545,,
2012-07-05,12323,12366,12070,12199,98272,,
2012-07-06,12197,12239,12028,12156,74294,,
2012-07-09,12070,12155,12028,12114,52237,,
2012-07-10,12028,12113,11775,12114,123354,,
2012-07-11,12070,12197,11860,12114,63442,,
2012-07-12,12155,12323,12113,12199,125806,,
2012-07-13,12323,12323,11817,12156,57534,,
2012-07-16,12239,12323,12113,12241,42942,,
2012-07-17,12282,12282,11691,11903,118197,,
2012-07-18,11817,11860,11396,11734,149994,,
2012-07-19,11649,12323,11649,12283,108901,,
2012-07-20,12197,12450,12070,12241,68823,,
2012-07-23,12239,12282,12070,12199,28766,,
2012-07-24,12113,12197,11860,12199,359529,,
2012-07-25,11986,12113,11902,11987,55592,,
2012-07-26,12028,12577,12028,12578,180687,,
2012-07-27,12662,12788,12577,12748,95388,,
2012-07-30,12873,12873,12535,12748,73174,,
2012-07-31,12745,13084,12619,13001,101904,,
2012-08-01,12915,13168,12915,13127,75455,,
2012-08-02,13126,13168,12999,13169,30682,,
2012-08-03,13126,13168,13041,13127,32149,,
2012-08-06,13168,13210,12957,13085,92317,,
2012-08-07,13041,13084,12745,12958,101088,,
2012-08-08,12915,13084,12831,12958,36633,,
2012-08-09,12957,12957,12788,12916,90612,,
2012-08-10,12788,12915,12745,12790,72679,,
2012-08-13,12704,12915,12662,12748,55030,,
2012-08-14,12619,12831,12577,12663,138261,,
2012-08-16,12704,13084,12704,13043,77399,,
2012-08-17,13126,13379,12999,13338,125163,,
2012-08-20,13421,13548,13252,13550,91845,,
2012-08-21,13591,13591,13337,13465,74681,,
2012-08-22,13252,13464,13084,13296,127905,,
2012-08-23,13252,13632,13210,13508,162373,,
2012-08-24,13505,13505,12831,12958,3814810,,
2012-08-27,13126,13548,12999,13296,371274,,
2012-08-28,13337,13421,13084,13296,179972,,
2012-08-29,13252,13252,13084,13212,105069,,
2012-08-30,13252,13252,12957,13043,109583,,
2012-08-31,12915,13337,12915,13212,137787,,
2012-09-03,13337,13759,13210,13760,278715,,
2012-09-04,13886,14223,13674,14225,263736,,
2012-09-05,14265,15068,14223,14942,427204,,
2012-09-06,14941,15026,14561,14858,253299,,
2012-09-07,14941,15236,14646,15195,199900,,
2012-09-10,15194,15194,14941,15195,161730,,
2012-09-11,15194,15404,15026,15111,208724,,
2012-09-12,15026,15152,14982,15068,93094,,
2012-09-13,15068,15068,14729,14773,207757,,
2012-09-14,14773,15447,14729,15154,340036,,
2012-09-17,15194,15532,14729,14773,231591,,
2012-09-18,14646,14941,14519,14646,156687,,
2012-09-19,14773,14814,14561,14732,80791,,
2012-09-20,14561,14814,14476,14732,126450,,
2012-09-21,14814,14941,14687,14942,115201,,
2012-09-24,15026,15026,14519,14563,123773,,
2012-09-25,14392,14773,14392,14689,123123,,
2012-09-26,14308,14729,14308,14604,99261,,
2012-09-27,14392,15068,14392,14689,151062,,
2012-09-28,14814,14941,14434,14604,143773,,
2012-10-02,14603,15574,14603,15449,296308,,
2012-10-04,15532,15785,15447,15618,171334,,
2012-10-05,15743,15743,15279,15491,171208,,
2012-10-08,15532,16207,15447,16040,339265,,
2012-10-09,15869,16418,15869,16209,238319,,
2012-10-10,16207,16587,16038,16588,193548,,
2012-10-11,16545,17600,16503,17391,368131,,
2012-10-12,17727,17727,17093,17686,311962,,
2012-10-15,17685,18275,17346,18023,268965,,
2012-10-16,18065,18570,17389,18573,214855,,
2012-10-17,18318,18993,18318,18740,251322,,
2012-10-18,18613,18656,17389,17391,422718,,
2012-10-19,17305,17980,16503,17855,377461,,
2012-10-22,17895,18570,17432,18573,213804,,
2012-10-23,18782,19373,18360,18573,307571,,
2012-10-24,18528,18951,18192,18657,199634,,
2012-10-25,18656,18782,17727,17897,239758,,
2012-10-26,17600,17895,16545,17391,504547,,
2012-10-29,17305,17305,16123,16377,425326,,
2012-10-30,16038,16840,15743,16799,294578,,
2012-10-31,17051,17093,16334,16462,267951,,
2012-11-01,16164,16292,15701,15744,365096,,
2012-11-02,15954,16798,15954,16799,369161,,
2012-11-05,16883,18233,16503,17686,420212,,
2012-11-06,17853,18487,17811,17897,280699,,
2012-11-07,17769,18106,17305,17517,160502,,
2012-11-08,17051,17474,17051,17475,133422,,
2012-11-09,17600,17641,16798,17137,181553,,
2012-11-12,17093,17811,16840,17728,214241,,
2012-11-13,17895,18065,17263,17305,166873,,
2012-11-14,16798,17305,16798,16926,117870,,
2012-11-15,16798,17389,16207,16377,198713,,
2012-11-16,16503,16671,15954,15997,145461,,
2012-11-19,15785,16798,15785,16799,132819,,
2012-11-20,17136,17558,17051,17305,188935,,
2012-11-21,17474,17515,17051,17179,132063,,
2012-11-22,17432,17432,16840,17137,107932,,
2012-11-23,16924,17136,16418,16631,271382,,
2012-11-26,16503,16840,16334,16631,153209,,
2012-11-27,16883,16924,16376,16715,122544,,
2012-11-28,16545,16924,16545,16799,93949,,
2012-11-29,16883,16924,16123,16293,245778,,
2012-11-30,16164,16587,15869,16588,263548,,
2012-12-03,16587,16883,16292,16588,137085,,
2012-12-04,16545,16798,16418,16673,114201,,
2012-12-05,16671,17178,16587,17179,290933,,
2012-12-06,17263,17432,16883,17096,199547,,
2012-12-07,17220,17220,16587,16799,220372,,
2012-12-10,16798,16967,16503,16673,96647,,
2012-12-11,16587,16798,16081,16377,195240,,
2012-12-12,16334,16545,15911,16335,180233,,
2012-12-13,16164,16376,15997,15997,102226,,
2012-12-14,15954,15954,14941,15238,552997,,
2012-12-17,15194,15194,12957,14183,1643951,,
2012-12-18,14350,15321,13927,15322,426984,,
2012-12-20,15701,16334,15404,15618,416808,,
2012-12-21,15616,15911,14982,15828,239657,,
2012-12-24,15828,15869,15447,15828,131151,,
2012-12-26,15785,15997,15616,15702,79154,,
2012-12-27,15789,16144,15745,15879,65375,,
2012-12-28,15789,16365,15701,16277,78481,,
2013-01-02,16453,16453,15789,15791,128360,,
2013-01-03,15789,16188,15303,16144,135529,,
2013-01-04,16276,16895,16099,16896,187485,,
2013-01-07,17028,17028,16541,16675,105675,,
2013-01-08,16586,16895,16497,16808,84352,,
2013-01-09,16895,17161,16806,17117,161527,,
2013-01-10,17073,17117,16718,17073,82161,,
2013-01-11,17073,17073,16718,16764,84466,,
2013-01-14,16851,16895,16409,16454,88243,,
2013-01-15,16453,16630,16099,16100,68071,,
2013-01-16,16099,16320,15568,15923,68430,,
2013-01-17,15833,16055,15701,15967,49389,,
2013-01-18,16144,16365,15967,16321,57320,,
2013-01-21,16099,16586,16055,16543,60290,,
2013-01-22,16630,16674,16320,16409,83063,,
2013-01-23,16453,16630,16276,16365,30943,,
2013-01-24,16453,16762,16232,16720,98446,,
2013-01-25,16806,17780,16762,17515,472808,,
2013-01-28,17736,17956,17515,17781,152712,,
2013-01-29,17780,18001,17559,17870,128072,,
2013-01-30,18045,18045,17426,17737,118046,,
2013-01-31,17736,17868,17117,17825,173012,,
2013-02-01,17426,17691,16939,17029,204276,,
2013-02-04,17117,17691,16895,17693,209421,,
2013-02-05,17691,17691,17338,17604,69711,,
2013-02-06,17780,17780,17338,17559,68267,,
2013-02-07,17559,17780,17470,17693,79043,,
2013-02-08,17824,17824,17426,17471,42598,,
2013-02-12,17426,17780,17338,17649,51443,,
2013-02-13,17647,18001,17647,17914,115687,,
2013-02-14,18001,18001,17691,17870,57054,,
2013-02-15,18001,18488,17956,18179,189948,,
2013-02-18,18355,18753,18311,18754,182657,,
2013-02-19,18885,19018,18665,18665,130632,,
2013-02-20,18930,18930,18532,18665,101420,,
2013-02-21,18797,18841,18311,18356,125679,,
2013-02-22,18355,18797,18089,18709,76637,,
2013-02-25,18930,18930,18311,18312,66084,,
2013-02-26,18134,18576,18134,18356,48891,,
2013-02-27,18488,18841,18399,18665,89146,,
2013-02-28,18665,18797,18576,18799,78660,,
2013-03-04,18841,19195,18841,18843,162239,,
2013-03-05,19018,19328,18974,19285,178003,,
2013-03-06,19373,20168,19062,20170,243024,,
2013-03-07,20256,20876,20256,20832,340915,,
2013-03-08,21009,21274,20523,20788,211207,,
2013-03-11,20788,20832,20256,20435,139458,,
2013-03-12,20345,20611,19815,20567,231716,,
2013-03-13,20345,20788,20256,20744,158275,,
2013-03-14,20655,21097,20478,21010,203708,,
2013-03-15,21274,24105,21230,22646,825137,,
2013-03-18,23088,25123,22645,23531,722010,,
2013-03-19,23220,23840,22690,22867,398673,,
2013-03-20,22867,24061,22115,22293,355483,,
2013-03-21,22556,23176,22203,22425,170634,,
2013-03-22,22556,22823,22291,22514,143994,,
2013-03-25,22867,23530,22512,23531,202323,,
2013-03-26,23618,23840,23265,23443,165547,,
2013-03-27,23618,24415,23485,24238,261038,,
